date,Gero Miesenboeck,Andrew Bird,Emily Pilloton,Stefan Wolff,Iraola,isPartial
2019-12-01,0,9,0,0,3,False
2020-01-01,0,7,0,0,4,False
2020-02-01,0,8,0,0,8,False
2020-03-01,0,6,0,0,3,False
2020-04-01,0,9,0,0,3,False
2020-05-01,0,6,0,0,2,False
2020-06-01,0,5,0,0,2,False
2020-07-01,0,6,0,0,5,False
2020-08-01,0,5,0,0,4,False
2020-09-01,0,6,0,0,3,False
2020-10-01,0,7,0,0,3,False
