date,John Underkoffler,Brian Skerry,"Christopher ""moot"" Poole""",Adam Sadowsky,Iraola,isPartial
2010-01-01,1,2,3,1,35,False
2010-02-01,2,1,7,0,18,False
2010-03-01,1,1,5,2,26,False
2010-04-01,2,1,4,0,27,False
2010-05-01,3,0,5,0,24,False
2010-06-01,9,6,9,2,29,False
2010-07-01,4,5,5,1,20,False
2010-08-01,2,2,8,1,27,False
2010-09-01,2,3,2,1,32,False
2010-10-01,1,2,4,1,34,False
2010-11-01,2,3,5,0,42,False
2010-12-01,3,2,4,2,34,False
2011-01-01,0,1,8,1,28,False
2011-02-01,2,3,3,1,38,False
2011-03-01,1,2,4,0,46,False
2011-04-01,2,2,2,1,34,False
2011-05-01,2,3,5,2,31,False
2011-06-01,1,2,4,1,33,False
2011-07-01,4,2,3,0,28,False
2011-08-01,1,4,3,0,42,False
2011-09-01,1,5,4,1,34,False
2011-10-01,1,3,2,1,32,False
2011-11-01,1,6,2,1,28,False
2011-12-01,2,3,1,1,27,False
2012-01-01,1,4,3,1,25,False
2012-02-01,1,6,3,0,30,False
2012-03-01,1,3,1,1,54,False
2012-04-01,0,2,4,1,34,False
2012-05-01,1,1,3,0,41,False
2012-06-01,1,5,4,0,32,False
2012-07-01,1,3,3,0,23,False
2012-08-01,1,2,3,1,24,False
2012-09-01,1,5,2,0,26,False
2012-10-01,1,3,2,1,25,False
2012-11-01,2,2,1,1,27,False
2012-12-01,2,2,2,1,23,False
2013-01-01,1,4,2,1,24,False
2013-02-01,1,5,3,1,25,False
2013-03-01,1,2,2,1,23,False
2013-04-01,1,2,2,1,25,False
2013-05-01,1,3,3,0,21,False
2013-06-01,1,2,2,1,23,False
2013-07-01,1,2,1,0,23,False
2013-08-01,1,2,2,1,24,False
2013-09-01,2,3,1,1,30,False
2013-10-01,2,3,1,0,26,False
2013-11-01,1,2,1,2,24,False
2013-12-01,1,2,2,0,25,False
2014-01-01,1,2,2,1,22,False
2014-02-01,1,1,3,1,25,False
2014-03-01,1,2,1,1,28,False
2014-04-01,1,2,2,1,22,False
2014-05-01,1,1,1,1,25,False
2014-06-01,1,1,1,1,21,False
2014-07-01,1,1,1,1,26,False
2014-08-01,1,1,2,1,34,False
2014-09-01,1,1,5,1,35,False
2014-10-01,1,2,4,1,27,False
2014-11-01,2,1,1,0,26,False
2014-12-01,0,3,2,1,22,False
2015-01-01,1,1,9,1,21,False
2015-02-01,0,1,1,0,26,False
2015-03-01,2,1,1,0,37,False
2015-04-01,1,3,2,0,38,False
2015-05-01,1,2,1,0,100,False
2015-06-01,1,2,1,1,44,False
2015-07-01,1,2,0,0,50,False
2015-08-01,0,2,1,0,34,False
2015-09-01,0,3,1,0,30,False
2015-10-01,0,6,0,0,24,False
2015-11-01,1,2,1,0,23,False
2015-12-01,0,2,1,0,20,False
2016-01-01,1,2,1,0,24,False
2016-02-01,1,1,1,1,23,False
2016-03-01,1,1,2,0,26,False
2016-04-01,1,1,1,0,18,False
2016-05-01,1,1,1,0,32,False
2016-06-01,1,2,1,0,26,False
2016-07-01,1,2,1,0,28,False
2016-08-01,1,2,1,1,18,False
2016-09-01,0,1,1,0,25,False
2016-10-01,0,1,1,0,24,False
2016-11-01,0,1,0,0,33,False
2016-12-01,0,2,1,1,19,False
2017-01-01,0,3,1,0,18,False
2017-02-01,0,1,1,1,21,False
2017-03-01,1,1,1,0,18,False
2017-04-01,1,1,1,0,19,False
2017-05-01,0,1,0,0,24,False
2017-06-01,1,1,1,0,19,False
2017-07-01,1,2,0,0,20,False
2017-08-01,1,1,1,0,18,False
2017-09-01,0,1,0,0,18,False
2017-10-01,0,1,1,0,16,False
2017-11-01,1,2,1,0,14,False
2017-12-01,1,2,1,0,14,False
2018-01-01,0,2,1,0,19,False
2018-02-01,0,1,0,1,17,False
2018-03-01,0,1,1,0,14,False
2018-04-01,0,1,0,0,16,False
2018-05-01,0,1,1,0,17,False
2018-06-01,0,1,1,0,17,False
2018-07-01,1,2,0,0,16,False
2018-08-01,0,1,1,0,17,False
2018-09-01,0,2,1,0,18,False
2018-10-01,0,1,1,0,20,False
2018-11-01,0,1,1,0,17,False
2018-12-01,0,2,1,0,16,False
2019-01-01,0,1,0,0,16,False
2019-02-01,0,1,0,0,19,False
2019-03-01,0,2,1,0,15,False
2019-04-01,0,1,1,1,19,False
2019-05-01,1,1,1,0,16,False
2019-06-01,0,0,1,0,17,False
2019-07-01,0,1,1,1,24,False
2019-08-01,0,1,1,0,20,False
2019-09-01,0,2,0,0,17,False
2019-10-01,0,1,0,0,16,False
2019-11-01,0,1,0,0,16,False
2019-12-01,0,1,0,0,19,False
2020-01-01,0,1,0,0,28,False
2020-02-01,0,1,0,1,54,False
2020-03-01,0,1,0,0,21,False
2020-04-01,0,1,0,0,17,False
2020-05-01,0,1,1,0,14,False
2020-06-01,1,1,1,0,16,False
2020-07-01,0,1,0,0,34,False
2020-08-01,0,1,0,0,27,False
2020-09-01,1,1,1,0,19,False
2020-10-01,0,1,0,0,21,False
