date,Deborah Gordon,J.J. Abrams,David Gallo,Paola Antonelli,Iraola,isPartial
2004-01-01,8,4,4,0,6,False
2004-02-01,8,4,7,0,16,False
2004-03-01,5,0,5,0,5,False
2004-04-01,4,4,4,4,5,False
2004-05-01,4,7,6,3,4,False
2004-06-01,7,3,3,0,5,False
2004-07-01,3,7,6,0,5,False
2004-08-01,5,6,5,6,5,False
2004-09-01,3,5,12,6,7,False
2004-10-01,8,3,6,0,7,False
2004-11-01,4,6,5,3,9,False
2004-12-01,6,3,6,0,6,False
2005-01-01,5,7,5,0,8,False
2005-02-01,4,3,4,3,7,False
2005-03-01,3,3,2,0,5,False
2005-04-01,2,6,5,0,7,False
2005-05-01,5,5,3,2,7,False
2005-06-01,4,8,4,2,8,False
2005-07-01,7,8,4,0,7,False
2005-08-01,3,6,4,3,6,False
2005-09-01,3,4,3,0,8,False
2005-10-01,3,5,4,0,7,False
2005-11-01,3,4,5,2,7,False
2005-12-01,2,5,4,3,6,False
2006-01-01,2,7,5,3,5,False
2006-02-01,2,7,4,2,6,False
2006-03-01,4,5,4,1,10,False
2006-04-01,4,23,2,0,6,False
2006-05-01,5,28,3,0,6,False
2006-06-01,4,4,7,4,7,False
2006-07-01,2,9,3,4,9,False
2006-08-01,4,3,3,1,5,False
2006-09-01,5,6,4,2,5,False
2006-10-01,1,5,3,1,7,False
2006-11-01,3,13,2,4,7,False
2006-12-01,2,4,1,2,6,False
2007-01-01,2,3,4,2,7,False
2007-02-01,2,10,4,1,6,False
2007-03-01,4,4,2,1,10,False
2007-04-01,3,3,3,2,7,False
2007-05-01,2,5,2,1,7,False
2007-06-01,3,3,3,1,7,False
2007-07-01,3,100,4,2,6,False
2007-08-01,2,29,2,2,5,False
2007-09-01,2,17,3,1,9,False
2007-10-01,2,16,3,1,6,False
2007-11-01,1,14,3,1,6,False
2007-12-01,1,10,2,1,8,False
2008-01-01,2,21,5,3,5,False
2008-02-01,3,12,4,1,8,False
2008-03-01,2,5,3,1,7,False
2008-04-01,2,5,2,1,7,False
2008-05-01,2,6,2,4,7,False
2008-06-01,2,7,3,1,6,False
2008-07-01,2,3,2,1,4,False
2008-08-01,2,5,2,1,9,False
2008-09-01,2,9,3,1,9,False
2008-10-01,2,6,1,2,8,False
2008-11-01,1,7,2,2,8,False
2008-12-01,1,4,2,2,7,False
2009-01-01,2,3,2,2,8,False
2009-02-01,2,5,3,1,9,False
2009-03-01,2,8,2,2,6,False
2009-04-01,1,11,2,2,8,False
2009-05-01,3,36,3,2,11,False
2009-06-01,3,10,2,2,7,False
2009-07-01,1,4,3,1,7,False
2009-08-01,2,2,3,2,9,False
2009-09-01,3,5,2,2,10,False
2009-10-01,2,6,3,3,7,False
2009-11-01,2,6,1,2,10,False
2009-12-01,2,5,2,2,7,False
2010-01-01,1,6,3,2,9,False
2010-02-01,1,5,3,2,5,False
2010-03-01,1,4,4,2,7,False
2010-04-01,2,4,3,2,7,False
2010-05-01,1,19,3,2,6,False
2010-06-01,2,5,2,2,8,False
2010-07-01,1,7,2,1,5,False
2010-08-01,1,4,3,2,7,False
2010-09-01,2,8,3,2,9,False
2010-10-01,2,5,2,2,9,False
2010-11-01,1,4,3,1,11,False
2010-12-01,1,3,2,1,9,False
2011-01-01,1,4,1,2,8,False
2011-02-01,1,6,2,1,10,False
2011-03-01,1,4,3,2,12,False
2011-04-01,2,5,2,1,9,False
2011-05-01,1,8,2,1,8,False
2011-06-01,2,20,2,2,9,False
2011-07-01,1,10,3,2,7,False
2011-08-01,2,15,3,1,11,False
2011-09-01,1,11,2,1,9,False
2011-10-01,1,9,3,2,8,False
2011-11-01,1,8,2,1,8,False
2011-12-01,1,7,2,1,7,False
2012-01-01,1,9,2,1,7,False
2012-02-01,1,8,2,1,8,False
2012-03-01,1,4,3,1,14,False
2012-04-01,1,8,2,1,9,False
2012-05-01,1,6,2,1,11,False
2012-06-01,1,6,3,1,9,False
2012-07-01,1,4,1,1,6,False
2012-08-01,2,5,2,1,6,False
