Peter Haas,Natalie Jeremijenko,Joel Burns,Jessica Jackley,Iraola,isPartial
6,6,0,0,6,False
20,0,0,0,17,False
7,0,0,7,7,False
11,11,0,0,16,False
12,0,5,0,12,False
9,0,0,0,16,False
5,0,0,0,10,False
5,0,0,0,23,False
8,6,4,0,13,False
11,17,0,0,4,False
11,11,4,0,4,False
10,8,0,0,14,False
9,3,3,0,9,False
16,11,7,0,9,False
12,0,3,0,5,False
14,0,0,0,7,False
15,6,0,0,9,False
11,3,0,0,6,False
3,0,0,0,8,False
6,3,3,0,3,False
12,3,5,0,11,False
6,3,3,0,15,False
6,3,0,0,15,False
19,5,0,0,9,False
8,4,0,2,5,False
8,2,2,0,8,False
9,0,2,2,15,False
9,2,0,0,7,False
9,0,0,0,12,False
8,6,2,0,8,False
6,0,0,0,11,False
6,4,2,0,8,False
6,3,4,0,7,False
9,2,2,0,6,False
5,3,2,0,9,False
5,3,0,0,15,False
6,1,3,0,11,False
7,1,1,0,15,False
6,3,0,0,14,False
4,3,0,1,7,False
5,0,1,1,9,False
6,1,3,0,10,False
4,0,1,0,5,False
6,1,2,0,9,False
5,1,2,0,11,False
5,2,1,1,13,False
5,2,3,0,7,False
2,2,4,0,11,False
7,2,2,0,9,False
5,3,1,1,12,False
7,1,1,1,9,False
8,2,1,0,14,False
5,2,2,0,10,False
4,2,3,1,7,False
7,3,1,0,8,False
7,1,2,0,16,False
7,1,0,0,14,False
4,1,1,1,13,False
6,1,3,0,12,False
4,2,1,1,12,False
5,1,2,1,11,False
5,1,1,1,12,False
3,2,3,1,11,False
5,1,2,2,12,False
2,2,1,1,12,False
6,0,2,1,9,False
6,1,1,1,11,False
5,1,1,3,12,False
5,1,1,2,15,False
10,1,1,2,14,False
5,2,1,1,13,False
6,1,1,1,13,False
7,1,2,1,15,False
5,2,1,1,9,False
6,1,1,2,8,False
5,0,0,3,11,False
4,1,1,2,12,False
4,1,1,2,11,False
5,1,1,2,7,False
4,0,2,1,10,False
5,1,1,1,12,False
6,2,100,9,13,False
3,2,10,5,16,False
4,1,5,3,12,False
5,2,3,2,10,False
8,1,3,2,12,False
5,1,4,2,14,False
5,1,2,2,11,False
4,1,2,2,13,False
4,1,3,2,11,False
4,1,3,1,10,False
4,1,2,1,13,False
4,1,2,1,13,False
4,1,2,1,10,False
4,1,2,1,11,False
4,1,2,1,10,False
3,1,2,1,9,False
6,0,2,0,11,False
4,1,1,1,20,False
3,0,1,1,11,False
4,1,2,1,15,False
4,0,1,2,10,False
3,0,2,4,9,False
3,1,1,2,9,False
4,0,2,1,9,False
2,0,1,1,9,False
4,0,1,1,8,False
4,1,2,1,9,False
4,0,1,1,11,False
3,1,1,1,11,False
4,1,1,1,8,False
4,0,1,1,10,False
3,0,1,1,9,False
5,1,1,1,9,False
4,2,2,6,8,False
3,0,2,2,9,False
4,0,1,1,10,False
3,0,1,1,9,False
4,1,2,1,10,False
3,0,1,1,10,False
2,1,2,1,9,False
5,1,2,1,9,False
4,1,2,1,10,False
5,0,2,2,8,False
4,1,2,1,8,False
4,0,2,1,8,False
5,0,1,1,9,False
4,0,1,1,12,False
4,0,1,1,13,False
3,0,1,3,11,False
4,1,1,1,11,False
3,1,1,1,8,False
3,1,2,2,9,False
4,1,1,1,11,False
2,0,1,1,13,False
4,1,1,1,14,False
4,1,1,0,39,False
3,1,1,2,16,False
3,0,1,2,19,False
2,0,1,1,14,False
3,0,1,1,11,False
2,1,1,1,9,False
3,0,2,2,8,False
2,0,1,1,7,False
3,0,1,1,9,False
3,1,1,0,8,False
3,1,1,1,9,False
3,0,1,1,8,False
2,1,2,1,9,False
2,1,1,0,10,False
2,0,1,1,11,False
2,0,0,0,6,False
2,1,1,1,9,False
2,0,1,1,9,False
2,0,1,0,11,False
3,0,1,0,7,False
3,1,1,1,8,False
3,0,0,1,8,False
3,0,0,1,8,False
4,1,1,1,7,False
3,0,1,0,7,False
2,0,1,1,8,False
3,0,1,0,6,False
3,0,1,1,6,False
2,0,0,1,6,False
3,1,1,0,5,False
2,0,1,1,6,False
2,0,0,0,5,False
2,0,0,0,6,False
3,0,1,1,8,False
4,0,0,1,7,False
4,0,1,0,5,False
2,0,1,0,7,False
3,0,1,0,6,False
3,0,1,0,7,False
3,0,0,0,7,False
2,0,1,0,7,False
3,1,1,0,7,False
2,0,0,1,6,False
3,0,1,1,7,False
3,0,1,0,6,False
3,0,0,0,6,False
2,0,1,0,6,False
2,0,1,0,6,False
2,0,1,0,8,False
3,0,1,0,6,False
2,0,0,0,8,False
2,0,0,0,7,False
2,0,0,0,6,False
2,0,0,0,6,False
2,0,1,0,7,False
2,0,1,0,6,False
2,0,1,0,10,False
2,0,1,1,19,False
2,0,1,0,8,False
2,1,1,0,5,False
3,0,0,0,5,False
2,0,1,0,7,False
3,0,1,0,12,False
2,0,1,0,10,False
2,0,1,1,7,False
2,0,1,0,6,True
