Mona Chalabi,Ashton Cofer,Katie Hinde,Michael Botticelli,Iraola,isPartial
0,0,0,14,28,False
0,0,0,14,37,False
0,0,0,0,17,False
0,0,0,13,31,False
0,0,0,11,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,10,31,False
0,0,0,0,21,False
0,0,10,0,14,False
0,0,0,0,33,False
0,0,0,17,26,False
0,0,0,9,23,False
8,0,0,8,18,False
0,0,0,0,17,False
7,0,0,7,17,False
0,0,0,0,15,False
0,0,0,8,15,False
0,0,0,0,15,False
0,0,7,7,29,False
0,0,6,0,31,False
0,0,6,6,27,False
0,0,0,0,23,False
0,0,0,0,16,False
0,0,0,6,20,False
0,0,0,5,38,False
0,0,0,10,19,False
0,0,0,0,25,False
0,0,0,0,26,False
0,0,0,0,29,False
0,0,0,0,24,False
4,0,0,9,20,False
6,0,0,0,20,False
4,0,0,0,21,False
0,0,0,4,32,False
0,0,0,0,23,False
4,0,0,5,30,False
0,0,0,3,34,False
0,0,0,0,21,False
0,0,0,0,22,False
0,0,0,3,28,False
3,0,3,3,16,False
3,0,0,0,21,False
0,0,0,8,30,False
2,0,0,3,27,False
2,0,2,0,16,False
3,0,0,3,26,False
0,0,0,2,22,False
2,0,0,2,27,False
2,0,2,2,26,False
2,0,0,0,32,False
2,0,0,6,29,False
2,0,0,0,18,False
2,0,0,2,21,False
2,0,0,0,34,False
2,0,0,2,33,False
0,0,2,0,29,False
2,0,0,0,28,False
0,0,0,0,27,False
2,0,0,2,28,False
3,0,2,2,29,False
2,0,2,2,23,False
2,0,0,3,29,False
2,0,0,2,28,False
4,0,0,2,23,False
0,0,0,2,25,False
3,0,2,3,26,False
2,0,0,2,37,False
1,0,1,1,32,False
3,0,0,2,32,False
3,0,1,3,32,False
1,0,1,5,35,False
1,0,1,3,23,False
2,0,0,3,25,False
3,0,0,1,26,False
2,0,0,2,26,False
3,0,0,1,27,False
1,0,1,0,18,False
3,0,0,1,23,False
4,0,0,1,33,False
2,0,0,2,33,False
2,0,0,1,41,False
2,0,1,1,29,False
1,0,1,2,26,False
2,0,1,1,31,False
2,0,1,1,39,False
1,0,1,1,29,False
2,0,0,1,31,False
1,0,0,1,28,False
2,0,0,2,24,False
3,0,0,1,34,False
2,0,2,2,32,False
3,0,1,2,25,False
2,0,0,1,27,False
2,0,0,1,23,False
2,0,0,1,24,False
2,0,0,1,25,False
2,0,0,1,55,False
2,0,1,1,27,False
2,1,1,1,39,False
3,0,1,1,26,False
2,0,0,1,24,False
1,0,1,1,24,False
3,0,2,1,25,False
2,0,1,1,25,False
1,0,0,1,20,False
2,0,0,2,24,False
2,0,2,1,25,False
2,0,1,3,25,False
4,0,1,1,21,False
2,0,1,2,25,False
2,0,1,2,21,False
2,0,1,1,22,False
2,0,2,1,23,False
3,0,1,1,23,False
2,0,1,2,25,False
2,0,1,1,24,False
2,0,0,1,24,False
2,1,1,1,24,False
2,0,1,1,24,False
2,0,2,4,23,False
5,0,1,1,26,False
4,0,1,2,18,False
2,0,1,2,21,False
3,1,1,2,19,False
3,0,0,1,20,False
2,0,1,1,29,False
3,0,1,2,30,False
2,0,0,2,26,False
4,0,1,2,26,False
3,0,0,2,19,False
3,0,0,1,22,False
3,0,0,4,25,False
4,0,0,2,31,False
2,0,1,3,36,False
5,0,0,1,100,False
2,0,1,2,40,False
3,0,0,1,48,False
2,0,0,2,33,False
4,0,1,2,27,False
19,0,1,2,22,False
2,0,1,1,20,False
2,0,0,9,22,False
3,0,1,3,24,False
7,0,1,2,18,False
4,0,1,2,21,False
6,0,1,2,20,False
4,0,0,2,26,False
2,0,0,5,24,False
3,0,1,1,27,False
3,0,0,1,16,False
2,0,0,2,22,False
5,0,1,1,22,False
6,0,0,1,27,False
2,0,0,1,20,False
3,0,0,1,17,False
6,0,1,1,19,False
4,1,1,3,18,False
5,1,1,2,17,False
5,1,1,1,19,False
10,0,5,1,18,False
3,0,1,2,17,False
3,0,1,3,15,False
8,1,1,1,14,False
10,0,0,1,14,False
3,0,0,1,15,False
5,0,0,1,11,False
3,0,1,1,16,False
4,0,0,1,18,False
5,0,0,2,17,False
2,0,1,1,12,False
48,1,0,1,16,False
11,1,1,1,17,False
3,1,0,1,15,False
4,0,0,1,16,False
3,0,0,2,17,False
3,0,0,1,19,False
3,1,1,1,15,False
41,0,1,1,15,False
12,1,0,1,15,False
8,0,1,0,18,False
12,0,1,1,15,False
6,1,0,1,16,False
4,0,0,1,19,False
2,1,0,1,15,False
3,0,0,1,19,False
5,0,0,1,19,False
3,0,0,1,15,False
3,0,0,1,16,False
4,0,0,1,17,False
6,0,0,1,15,False
4,1,0,1,25,False
3,1,1,1,46,False
7,0,1,1,20,False
3,0,0,1,13,False
3,0,0,1,13,False
7,0,1,1,16,False
3,0,0,1,28,False
2,0,1,1,26,False
3,1,1,1,19,False
5,0,0,1,16,True
