Mariano Sigman,Zaria Forman,Joseph Ravenell,Adam Driver,Iraola,isPartial
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,1,0,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,2,False
0,0,0,1,1,False
0,0,0,2,1,False
0,0,0,3,1,False
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,4,1,False
0,0,0,2,1,False
0,0,0,4,1,False
0,0,0,2,1,False
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,2,1,False
0,0,0,2,1,False
0,0,0,2,1,False
0,0,0,1,1,False
0,0,0,5,1,False
0,0,0,2,1,False
0,1,0,5,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,16,1,False
0,1,0,5,1,False
0,1,0,3,1,False
0,1,0,2,1,False
0,0,0,3,1,False
0,1,0,5,1,False
0,0,0,3,1,False
0,0,0,5,1,False
0,1,0,8,1,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,0,0,5,1,False
0,0,0,7,3,False
0,0,0,3,1,False
0,0,0,4,2,False
0,0,0,6,1,False
0,0,0,3,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,87,1,False
0,0,0,77,1,False
0,0,0,18,1,False
0,0,0,12,1,False
0,0,0,16,1,False
0,0,0,9,1,False
0,0,0,6,1,False
0,0,0,7,1,False
0,0,0,5,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,6,1,False
0,0,0,12,1,False
0,0,0,14,1,False
0,0,0,10,1,False
0,0,0,6,1,False
0,0,0,8,1,False
0,0,0,5,1,False
0,0,0,7,1,False
0,0,0,9,1,False
0,0,0,6,0,False
0,0,0,5,0,False
0,0,0,6,0,False
0,0,0,7,0,False
0,0,0,68,0,False
0,0,0,34,1,False
0,0,0,11,1,False
0,0,0,9,1,False
0,0,0,9,0,False
0,0,0,8,1,False
0,0,0,6,1,False
0,0,0,7,0,False
0,0,0,10,1,False
0,0,0,17,1,False
0,0,0,13,1,False
0,0,0,8,0,False
0,0,0,7,1,False
0,0,0,10,0,False
0,0,0,12,1,False
0,0,0,7,0,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,9,0,False
0,0,0,6,1,False
0,0,0,8,1,False
0,0,0,8,0,False
0,0,0,9,1,False
0,0,0,14,1,False
0,0,0,100,0,False
0,0,0,98,1,False
0,0,0,43,1,False
0,0,0,23,1,False
0,0,0,25,0,False
0,0,0,25,0,False
0,0,0,17,1,False
0,0,0,14,1,False
0,0,0,14,1,False
0,0,0,12,1,False
0,0,0,11,1,True
