Josette Sheeran,Adam Ostrow,Harald Haas,Mark Pagel,Iraola,isPartial
0,0,14,0,28,False
0,0,14,0,37,False
0,0,0,17,17,False
0,0,0,27,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,10,31,False
10,0,0,0,21,False
11,0,11,11,14,False
0,0,0,0,33,False
0,0,9,9,26,False
0,0,9,9,23,False
0,8,8,8,18,False
0,0,0,0,17,False
0,0,0,7,17,False
8,0,0,0,15,False
8,0,0,8,15,False
0,0,7,11,15,False
7,0,7,7,29,False
0,0,6,6,31,False
6,6,9,6,27,False
0,0,6,0,23,False
0,0,0,8,16,False
0,6,0,0,20,False
5,0,5,0,38,False
5,0,5,5,19,False
0,0,0,5,25,False
0,5,5,5,26,False
5,0,5,5,29,False
0,5,5,7,24,False
0,0,4,9,20,False
12,0,4,4,20,False
17,0,4,4,21,False
6,0,0,0,32,False
5,0,3,3,23,False
4,0,0,0,30,False
4,0,3,5,34,False
3,0,3,0,21,False
9,3,3,3,22,False
3,3,6,0,28,False
6,0,3,0,16,False
4,3,3,6,21,False
3,0,0,4,30,False
2,2,5,2,27,False
2,0,0,2,16,False
5,3,3,3,26,False
2,2,2,11,22,False
5,0,2,4,27,False
4,0,2,2,26,False
11,2,0,9,32,False
8,2,2,0,29,False
4,0,2,2,18,False
2,0,0,4,21,False
2,6,2,4,34,False
4,2,2,0,33,False
3,2,5,2,29,False
2,0,2,4,28,False
7,2,3,4,27,False
0,2,3,5,28,False
2,2,2,4,29,False
0,2,2,3,23,False
5,2,0,2,29,False
3,2,2,2,28,False
2,0,3,2,23,False
5,0,2,0,25,False
0,2,2,5,26,False
3,2,2,1,37,False
1,1,4,3,32,False
3,1,2,2,32,False
4,1,2,1,32,False
3,1,2,2,35,False
1,1,0,1,23,False
1,0,2,4,25,False
2,0,2,2,26,False
1,0,1,2,26,False
1,1,2,2,27,False
2,2,2,2,18,False
1,1,1,1,23,False
3,2,1,2,33,False
2,1,1,2,33,False
3,1,2,0,41,False
1,0,4,0,29,False
2,2,1,1,26,False
2,1,1,1,31,False
2,1,1,1,39,False
2,1,1,3,29,False
4,1,3,1,31,False
2,2,2,1,28,False
6,2,1,2,24,False
8,1,12,4,34,False
2,2,4,2,32,False
3,1,4,1,25,False
3,1,2,1,27,False
1,2,3,2,23,False
4,3,1,2,24,False
1,0,2,2,25,False
3,1,2,3,55,False
1,2,2,3,27,False
1,0,2,4,39,False
1,1,1,3,26,False
1,1,2,3,24,False
1,1,2,2,24,False
1,1,3,1,25,False
1,1,2,2,25,False
1,2,1,2,20,False
1,1,2,2,24,False
1,1,1,3,25,False
1,1,1,2,25,False
1,1,2,3,21,False
1,2,2,2,25,False
1,1,1,5,21,False
1,1,1,2,22,False
1,1,1,2,23,False
1,2,1,1,23,False
2,1,2,3,25,False
1,1,3,2,24,False
1,1,2,1,24,False
1,1,2,3,24,False
1,1,2,1,24,False
1,1,2,1,23,False
0,0,1,1,26,False
1,0,1,1,18,False
2,1,1,2,21,False
1,1,3,1,19,False
1,1,1,1,20,False
1,1,3,1,29,False
1,0,1,2,30,False
2,1,2,1,26,False
1,1,2,1,26,False
1,1,2,1,19,False
0,0,2,1,22,False
1,1,2,2,25,False
1,1,1,2,31,False
1,1,1,1,36,False
1,1,1,1,100,False
1,0,1,1,40,False
1,0,1,1,48,False
1,1,1,1,33,False
1,1,1,2,27,False
1,1,1,1,22,False
1,1,11,1,20,False
1,1,6,2,22,False
0,1,3,1,24,False
1,0,2,1,18,False
1,1,3,1,21,False
1,0,2,1,20,False
0,0,1,2,26,False
1,1,3,0,24,False
0,0,2,1,27,False
0,1,2,0,16,False
1,1,2,2,22,False
1,1,2,2,22,False
0,0,2,1,27,False
1,1,1,1,20,False
1,0,2,1,17,False
1,1,2,1,19,False
1,0,1,1,18,False
1,1,1,1,17,False
1,1,1,1,19,False
1,1,1,1,18,False
1,1,1,1,17,False
1,1,2,1,15,False
1,0,1,1,14,False
1,1,1,1,14,False
0,0,1,0,15,False
0,0,1,1,11,False
0,1,1,1,16,False
1,1,1,1,18,False
1,1,2,1,17,False
1,1,2,1,12,False
1,0,1,1,16,False
0,1,1,1,17,False
0,1,1,0,15,False
0,0,1,2,16,False
2,1,1,1,17,False
0,1,2,1,19,False
1,1,1,1,15,False
1,0,1,1,15,False
1,0,1,1,15,False
0,0,1,1,18,False
1,1,1,1,15,False
1,0,1,1,16,False
1,0,1,1,19,False
1,1,1,1,15,False
0,0,1,1,19,False
0,0,1,1,19,False
1,0,1,1,15,False
1,0,1,1,16,False
1,0,1,0,17,False
0,1,1,0,15,False
1,0,1,1,25,False
1,0,1,0,46,False
1,0,1,1,20,False
1,0,2,0,13,False
0,0,1,1,13,False
0,0,1,0,16,False
0,0,1,0,28,False
0,0,0,0,26,False
0,0,1,0,19,False
1,1,1,0,16,True
