John Underkoffler,Brian Skerry,"Christopher ""moot"" Poole""",Adam Sadowsky,Iraola,isPartial
15,0,0,0,15,False
0,14,0,0,44,False
0,0,0,0,18,False
14,0,0,0,42,False
0,0,0,0,30,False
0,0,0,0,42,False
13,13,0,0,25,False
0,12,0,0,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,10,0,0,36,False
0,0,0,0,22,False
9,0,0,0,23,False
8,8,0,0,12,False
0,0,0,0,18,False
8,0,0,0,23,False
8,0,0,0,16,False
0,0,0,0,20,False
8,0,0,0,8,False
7,0,0,0,28,False
0,0,0,6,39,False
6,0,0,0,39,False
0,6,0,0,22,False
0,0,0,0,14,False
0,0,0,0,20,False
5,0,0,0,40,False
0,0,0,0,19,False
0,0,0,0,32,False
5,0,0,0,21,False
0,0,0,5,28,False
5,5,0,0,21,False
9,0,0,5,18,False
0,4,0,4,16,False
0,0,0,0,24,False
0,0,0,0,39,False
4,0,0,4,29,False
0,8,0,0,38,False
3,0,0,0,35,False
0,0,0,0,17,False
3,0,0,0,24,False
3,3,0,0,25,False
0,0,0,0,12,False
0,3,0,0,23,False
0,6,0,0,28,False
0,3,0,0,33,False
2,2,0,2,17,False
0,0,0,0,29,False
0,2,0,0,22,False
0,0,0,0,30,False
0,0,0,0,23,False
2,0,0,2,36,False
2,2,0,0,26,False
2,2,0,0,18,False
0,2,9,0,22,False
2,0,2,0,41,False
0,0,2,0,35,False
2,4,2,0,33,False
3,4,0,3,31,False
0,3,0,0,31,False
2,0,2,0,29,False
0,0,0,0,30,False
0,2,2,2,29,False
0,3,13,0,31,False
2,2,6,2,32,False
2,2,3,0,23,False
2,3,2,0,27,False
0,2,2,2,29,False
0,1,0,0,39,False
2,2,0,0,36,False
1,0,1,0,33,False
0,3,1,0,33,False
1,0,2,1,39,False
2,1,9,0,24,False
1,1,4,1,21,False
3,3,1,0,28,False
0,3,4,0,30,False
12,6,3,3,28,False
4,4,7,1,18,False
6,2,6,0,26,False
3,2,2,3,31,False
2,1,4,0,32,False
2,4,6,1,41,False
3,0,8,2,31,False
1,6,7,1,26,False
1,2,4,1,31,False
1,3,4,0,36,False
2,2,2,1,28,False
2,4,4,0,33,False
2,3,2,1,28,False
1,1,2,0,25,False
0,4,4,0,33,False
1,6,3,0,32,False
1,3,2,0,25,False
1,6,2,1,28,False
0,2,1,1,25,False
1,3,1,1,22,False
1,5,2,2,27,False
1,3,4,1,52,False
1,1,4,0,28,False
1,2,2,1,37,False
3,2,3,1,26,False
1,3,1,1,24,False
1,4,2,0,23,False
1,4,2,0,23,False
1,4,2,1,23,False
1,1,3,1,21,False
2,1,2,2,24,False
1,3,3,1,28,False
1,4,3,1,29,False
0,2,2,1,20,False
1,1,2,1,24,False
1,3,3,0,23,False
0,2,1,2,24,False
2,3,1,1,22,False
1,1,1,1,23,False
1,4,2,0,24,False
2,3,1,0,24,False
1,4,1,1,25,False
1,1,2,0,26,False
2,3,2,0,22,False
1,2,3,1,24,False
1,2,1,0,27,False
1,1,2,0,20,False
1,2,2,0,20,False
1,1,1,1,21,False
0,1,1,0,22,False
0,2,1,0,30,False
1,1,3,1,33,False
2,1,4,1,28,False
1,2,1,0,29,False
0,3,2,1,19,False
1,1,8,1,22,False
1,2,1,0,27,False
0,1,1,0,33,False
0,2,1,0,36,False
0,1,1,0,100,False
1,2,0,0,40,False
0,2,1,0,49,False
0,2,0,0,35,False
0,1,1,0,28,False
0,5,1,0,23,False
0,2,0,0,19,False
0,2,1,0,19,False
1,3,1,0,24,False
0,1,1,0,19,False
1,1,2,0,22,False
0,1,0,0,20,False
1,1,1,0,24,False
0,1,0,0,25,False
1,2,0,0,27,False
1,1,1,0,16,False
0,1,0,1,22,False
0,1,2,0,24,False
0,3,1,0,29,False
0,1,0,0,19,False
1,2,0,0,19,False
0,2,1,0,21,False
1,1,1,0,21,False
1,2,1,0,19,False
0,1,1,0,17,False
0,3,0,0,19,False
0,3,1,0,17,False
0,2,0,0,14,False
0,2,2,0,15,False
0,2,0,0,14,False
0,1,1,0,15,False
1,0,1,0,12,False
0,1,0,1,16,False
0,1,0,0,20,False
0,1,1,0,17,False
0,2,0,0,14,False
1,1,2,0,18,False
0,1,0,0,16,False
1,1,1,0,17,False
1,0,1,0,17,False
0,2,0,0,17,False
0,1,1,0,19,False
0,2,1,0,16,False
0,1,0,0,17,False
0,2,0,0,15,False
0,3,0,0,17,False
0,1,2,0,15,False
0,1,1,0,15,False
0,1,0,0,21,False
0,1,0,0,15,False
0,0,0,0,19,False
0,1,0,0,18,False
1,1,0,0,16,False
0,1,0,0,16,False
0,1,0,0,17,False
1,1,0,0,17,False
0,1,0,0,25,False
0,1,0,0,50,False
0,1,0,0,21,False
0,1,0,0,13,False
0,1,1,0,12,False
0,0,1,0,18,False
0,1,0,0,31,False
0,1,1,0,26,False
0,1,0,0,19,False
0,1,1,0,16,True
