Honor Harger,Joshua Walters,Emiliano Salinas,Rajesh Rao,Iraola,isPartial
0,0,0,0,20,False
0,0,0,38,26,False
0,24,0,12,12,False
0,9,0,9,22,False
0,8,0,0,19,False
0,0,8,0,24,False
0,8,0,0,20,False
0,0,8,8,27,False
0,7,0,7,22,False
0,7,0,0,15,False
0,0,0,11,10,False
0,10,0,14,23,False
0,6,0,12,18,False
0,0,6,6,16,False
0,0,0,5,12,False
0,12,0,6,12,False
0,0,5,5,12,False
0,0,5,7,11,False
0,0,0,5,11,False
0,10,5,5,10,False
0,0,0,5,20,False
0,0,0,4,22,False
0,0,9,9,19,False
0,4,0,6,16,False
0,4,0,0,11,False
0,0,0,4,14,False
0,5,3,3,27,False
0,0,0,7,13,False
0,3,3,5,17,False
0,0,0,5,18,False
0,7,0,3,21,False
0,3,3,5,17,False
0,0,5,3,14,False
0,0,0,3,14,False
0,3,3,7,14,False
0,0,0,4,22,False
0,2,0,4,16,False
0,3,0,5,21,False
0,2,2,4,24,False
0,2,3,7,15,False
2,0,2,4,15,False
0,4,0,2,19,False
0,2,2,2,11,False
0,2,4,3,15,False
0,4,2,3,21,False
0,2,2,2,19,False
0,0,2,2,11,False
2,2,2,4,18,False
0,0,0,2,16,False
0,2,0,2,19,False
0,1,0,2,18,False
1,1,3,1,22,False
0,1,1,2,20,False
0,1,1,2,12,False
0,2,0,3,15,False
0,1,3,1,24,False
0,0,3,1,23,False
0,1,1,4,20,False
0,2,0,3,20,False
0,1,0,1,19,False
0,0,1,2,19,False
0,1,2,2,20,False
0,2,2,1,16,False
0,2,2,4,21,False
0,2,2,2,20,False
0,1,1,1,16,False
0,2,2,2,17,False
0,1,1,4,18,False
0,2,1,6,26,False
0,1,1,3,22,False
0,1,2,6,22,False
1,2,1,2,22,False
0,1,1,2,24,False
1,2,1,2,16,False
0,2,2,2,17,False
0,1,2,3,18,False
1,0,1,2,18,False
0,1,1,1,19,False
0,1,1,2,12,False
0,1,13,3,16,False
1,2,2,3,23,False
0,2,52,1,23,False
0,1,8,2,28,False
1,3,4,3,20,False
0,1,23,3,18,False
1,2,19,2,22,False
1,1,5,2,27,False
0,1,8,2,20,False
0,1,4,2,22,False
1,3,5,3,19,False
1,3,4,5,16,False
0,2,5,3,24,False
0,1,3,2,23,False
1,1,4,3,17,False
1,1,3,3,19,False
0,1,2,2,16,False
0,2,6,3,17,False
1,1,3,2,18,False
0,1,3,2,38,False
0,1,7,1,19,False
0,1,9,2,28,False
1,1,8,3,18,False
0,1,11,5,17,False
0,2,9,3,17,False
0,1,8,6,17,False
0,2,4,2,17,False
0,1,9,2,14,False
1,2,3,3,17,False
1,1,3,3,17,False
1,1,3,2,17,False
0,1,6,4,15,False
0,1,100,4,17,False
0,1,14,3,15,False
1,1,6,2,15,False
1,2,7,3,16,False
0,1,5,6,16,False
0,1,6,4,18,False
0,1,4,3,17,False
0,1,4,3,17,False
0,1,5,2,17,False
1,1,4,1,17,False
0,1,2,3,16,False
0,1,2,3,18,False
0,1,7,3,13,False
0,1,3,2,15,False
0,1,3,2,13,False
0,1,3,2,14,False
0,1,3,1,21,False
1,1,2,2,21,False
0,1,4,2,18,False
1,1,5,3,18,False
0,2,3,2,13,False
0,1,5,2,15,False
0,1,4,2,18,False
0,1,3,2,22,False
0,1,4,1,25,False
0,1,3,2,70,False
1,1,3,2,28,False
0,0,3,2,33,False
0,1,4,3,23,False
0,1,2,3,19,False
0,1,2,4,16,False
0,1,3,2,14,False
0,1,4,3,15,False
0,1,5,5,17,False
0,1,4,2,12,False
0,1,3,2,15,False
0,1,3,3,14,False
0,0,3,2,18,False
0,1,2,2,17,False
0,1,2,3,19,False
0,0,3,2,11,False
0,1,2,2,15,False
0,1,2,2,15,False
0,1,7,1,19,False
0,1,2,2,14,False
0,0,2,3,12,False
1,2,2,3,13,False
0,1,4,2,12,False
0,1,7,2,12,False
0,1,9,2,13,False
0,1,13,4,12,False
0,0,6,3,12,False
0,0,4,2,10,False
0,1,3,2,9,False
0,1,16,2,10,False
0,1,4,1,11,False
0,1,4,2,8,False
0,1,4,2,11,False
0,1,2,2,13,False
0,1,8,2,12,False
0,1,10,2,9,False
0,1,5,2,11,False
0,1,4,1,12,False
0,1,5,2,10,False
0,0,4,3,11,False
0,1,3,3,12,False
0,1,2,4,13,False
0,1,2,3,10,False
0,1,2,4,11,False
0,1,4,2,11,False
0,0,3,3,13,False
0,1,3,2,11,False
0,1,13,3,11,False
0,1,75,2,13,False
0,1,65,2,11,False
0,1,15,4,13,False
0,1,10,2,13,False
0,1,5,3,10,False
0,1,4,2,11,False
0,1,9,3,12,False
0,1,2,2,10,False
0,2,3,2,17,False
0,1,4,3,32,False
0,1,4,2,14,False
0,1,3,3,9,False
0,1,5,2,9,False
0,1,5,2,11,False
0,1,2,4,19,False
0,1,4,4,18,False
0,1,6,2,13,False
0,1,8,2,11,True
