Jacek Utko,Ueli Gegenschatz,Christopher C. Deam,P.W. Singer,Iraola,isPartial
0,0,0,0,9,False
0,6,0,0,18,False
0,8,0,0,11,False
0,0,0,0,12,False
0,0,0,0,12,False
0,0,0,0,10,False
0,5,0,0,11,False
0,0,0,5,20,False
0,0,0,5,11,False
0,0,0,0,9,False
0,5,0,0,5,False
0,0,0,4,6,False
0,4,0,4,9,False
0,0,0,0,12,False
0,0,0,0,9,False
4,4,0,7,11,False
0,3,0,0,8,False
0,3,0,0,11,False
0,3,0,0,10,False
0,0,0,3,6,False
0,0,0,3,12,False
0,3,0,3,11,False
0,0,0,3,8,False
0,0,0,0,11,False
0,0,0,0,7,False
0,0,0,0,8,False
0,0,0,0,14,False
0,2,0,0,8,False
0,0,0,0,14,False
0,0,0,0,14,False
0,0,0,0,13,False
0,0,0,0,9,False
0,2,0,2,10,False
2,2,0,0,9,False
0,0,0,2,10,False
0,0,0,2,10,False
2,0,0,0,9,False
0,0,0,0,10,False
0,0,0,1,11,False
0,1,0,0,10,False
0,0,0,1,12,False
0,0,0,0,10,False
0,0,0,0,11,False
0,1,0,0,10,False
0,1,0,0,13,False
0,0,0,1,8,False
0,0,0,1,10,False
1,1,0,0,10,False
1,1,0,1,9,False
0,1,0,0,8,False
0,1,0,1,10,False
0,2,0,2,11,False
0,2,0,1,12,False
0,2,0,0,8,False
0,1,0,0,6,False
0,1,0,0,14,False
1,1,0,1,14,False
0,1,0,1,12,False
0,0,0,0,14,False
0,1,0,1,13,False
0,1,0,2,11,False
2,1,0,4,11,False
1,1,0,1,10,False
5,2,0,2,14,False
1,1,0,2,12,False
1,1,0,1,13,False
1,1,0,2,12,False
1,1,0,1,14,False
1,1,0,1,16,False
1,2,0,0,13,False
2,100,0,1,15,False
0,8,0,1,14,False
1,5,0,1,14,False
1,2,0,1,9,False
2,2,0,1,12,False
1,3,0,0,11,False
1,1,0,1,10,False
0,1,0,0,13,False
1,1,0,1,8,False
0,1,0,0,10,False
0,3,0,0,11,False
0,2,0,0,13,False
1,2,0,1,18,False
0,1,0,0,14,False
0,0,0,1,13,False
0,1,0,0,18,False
1,1,0,1,17,False
0,1,0,0,14,False
0,1,0,0,15,False
0,1,0,0,13,False
1,1,0,0,10,False
1,2,0,0,15,False
0,1,0,0,15,False
0,1,0,0,12,False
1,1,0,0,11,False
0,1,0,0,10,False
1,1,0,0,12,False
1,1,0,1,14,False
1,1,0,0,20,False
1,0,0,0,13,False
0,1,0,0,20,False
1,0,0,0,9,False
0,1,0,0,10,False
0,1,0,1,10,False
0,1,0,0,11,False
0,4,0,0,9,False
0,1,0,0,10,False
0,1,0,1,10,False
1,0,0,0,10,False
1,0,0,0,10,False
0,0,0,0,8,False
0,3,0,0,9,False
0,2,0,0,9,False
0,0,0,0,9,False
0,1,0,0,9,False
0,1,0,0,11,False
0,1,0,0,11,False
0,2,0,0,10,False
0,1,0,0,10,False
0,0,0,0,10,False
1,4,0,0,10,False
0,0,0,0,11,False
0,1,0,0,11,False
0,1,0,0,9,False
0,0,0,0,11,False
0,0,0,0,10,False
0,0,0,0,10,False
0,0,0,0,13,False
0,1,0,0,15,False
0,0,0,0,11,False
0,1,0,0,11,False
0,0,0,0,9,False
0,0,0,0,10,False
0,1,0,0,11,False
0,0,0,0,14,False
0,0,0,0,18,False
0,1,0,0,39,False
0,0,0,0,18,False
0,0,0,0,20,False
0,0,0,0,15,False
0,0,0,0,11,False
0,0,0,0,10,False
0,0,0,0,10,False
0,0,0,0,9,False
0,1,0,0,10,False
0,0,0,0,7,False
0,0,0,0,9,False
0,0,0,0,8,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,0,0,8,False
0,1,0,0,8,False
0,0,0,0,12,False
0,0,0,0,12,False
0,0,0,0,11,False
0,0,0,0,7,False
0,0,0,0,8,False
0,0,0,1,7,False
0,1,0,0,7,False
0,1,0,0,9,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,5,False
0,1,0,0,7,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,6,False
0,0,0,0,8,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,8,False
0,0,0,0,8,False
0,0,0,0,8,False
0,0,0,1,8,False
0,0,0,0,8,False
0,0,0,0,6,False
0,0,0,0,7,False
0,0,0,0,6,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,9,False
0,1,0,0,8,False
0,0,0,0,8,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,7,False
0,0,0,0,11,False
0,0,0,0,21,False
0,0,0,0,8,False
0,0,0,0,6,False
0,0,0,0,7,False
0,0,0,0,6,False
0,0,0,0,13,False
0,0,0,0,11,False
0,0,0,0,9,False
0,0,0,0,7,True
