Amanda Burden,Christopher Emdin,David Sengeh,Gabby Giffords and Mark Kelly,Iraola,isPartial
0,0,0,0,28,False
28,0,0,0,37,False
0,0,0,0,17,False
27,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
12,0,0,0,28,False
11,0,0,0,39,False
21,0,0,0,31,False
21,0,0,0,21,False
0,0,0,0,14,False
10,0,0,0,33,False
17,0,0,0,26,False
14,0,0,0,23,False
13,0,0,0,18,False
8,0,0,0,17,False
0,0,0,0,17,False
7,0,0,0,15,False
8,0,0,0,15,False
22,0,0,0,15,False
9,0,0,0,29,False
6,0,0,0,31,False
0,0,0,0,27,False
6,0,0,0,23,False
11,0,0,0,16,False
6,0,0,0,20,False
15,0,0,0,38,False
10,0,0,0,19,False
5,0,0,0,25,False
16,0,0,0,26,False
5,0,0,0,29,False
7,0,0,0,24,False
4,0,0,0,20,False
7,8,0,0,20,False
4,4,0,0,21,False
6,4,0,0,32,False
13,3,0,0,23,False
9,0,0,0,30,False
6,0,0,0,34,False
10,0,0,0,21,False
5,0,0,0,22,False
6,0,0,0,28,False
7,3,0,0,16,False
3,0,0,0,21,False
5,0,0,0,30,False
2,0,0,0,27,False
4,0,2,0,16,False
3,3,0,0,26,False
4,0,0,0,22,False
11,0,0,0,27,False
4,0,0,0,26,False
7,0,0,0,32,False
2,2,0,0,29,False
2,0,0,0,18,False
2,2,0,0,21,False
4,0,2,0,34,False
5,0,2,0,33,False
5,0,0,0,29,False
5,0,0,0,28,False
5,0,0,0,27,False
3,0,0,0,28,False
3,4,0,0,29,False
7,0,0,0,23,False
5,0,0,0,29,False
4,0,2,0,28,False
5,0,0,0,23,False
6,2,0,0,25,False
3,2,0,0,26,False
7,0,0,0,37,False
6,0,0,0,32,False
5,1,0,0,32,False
5,1,0,0,32,False
2,1,0,0,35,False
3,0,0,0,23,False
4,0,0,0,25,False
6,1,0,0,26,False
8,0,0,0,26,False
5,0,0,0,27,False
3,1,0,0,18,False
3,3,1,0,23,False
3,0,0,0,33,False
3,0,0,0,33,False
4,1,0,0,41,False
3,0,0,0,29,False
4,0,0,2,26,False
4,0,0,1,31,False
3,0,0,1,39,False
2,0,0,1,29,False
3,1,0,2,31,False
6,0,0,1,28,False
3,1,0,1,24,False
4,1,0,0,34,False
4,1,0,0,32,False
4,1,0,0,25,False
10,1,1,2,27,False
5,0,0,1,23,False
6,1,0,1,24,False
6,1,0,0,25,False
6,1,0,1,55,False
4,0,0,1,27,False
7,1,0,1,39,False
4,1,1,0,26,False
6,0,0,0,24,False
4,1,0,0,24,False
3,1,1,1,25,False
4,1,1,0,25,False
4,1,2,1,20,False
5,1,1,1,24,False
3,1,1,1,25,False
4,1,1,1,25,False
3,2,1,1,21,False
5,1,3,1,25,False
3,1,1,0,21,False
2,2,0,0,22,False
5,1,1,1,23,False
3,1,1,1,23,False
6,1,1,1,25,False
3,1,0,1,24,False
4,1,1,1,24,False
21,1,1,0,24,False
3,1,1,1,24,False
4,1,1,1,23,False
5,2,1,0,26,False
9,3,2,0,18,False
5,2,1,0,21,False
6,1,1,1,19,False
6,2,1,1,20,False
4,2,1,0,29,False
4,1,1,1,30,False
4,1,1,0,26,False
3,1,1,1,26,False
4,1,0,0,19,False
5,1,1,1,22,False
4,1,1,1,25,False
4,1,1,1,31,False
4,1,1,0,36,False
3,1,0,2,100,False
2,1,1,0,40,False
3,1,1,0,48,False
3,1,0,0,33,False
2,1,0,0,27,False
3,1,1,1,22,False
3,1,0,0,20,False
4,0,1,1,22,False
5,1,0,0,24,False
4,2,1,1,18,False
4,1,1,2,21,False
3,3,1,0,20,False
3,1,0,1,26,False
3,2,1,0,24,False
3,1,1,1,27,False
3,3,0,0,16,False
3,2,0,0,22,False
3,1,0,0,22,False
2,2,0,0,27,False
2,1,0,0,20,False
4,2,0,0,17,False
4,2,0,0,19,False
4,3,0,0,18,False
3,2,2,0,17,False
2,2,0,0,19,False
1,2,0,0,18,False
3,1,0,0,17,False
2,2,0,0,15,False
3,1,0,0,14,False
3,2,0,1,14,False
27,2,1,1,15,False
3,1,0,0,11,False
3,1,0,0,16,False
3,1,0,0,18,False
3,2,1,0,17,False
3,1,0,0,12,False
3,1,1,0,16,False
1,3,1,0,17,False
2,1,0,0,15,False
1,1,0,0,16,False
2,1,1,0,17,False
2,1,1,0,19,False
1,1,1,0,15,False
2,1,1,0,15,False
2,2,1,0,15,False
1,2,1,0,18,False
2,1,1,0,15,False
2,2,0,1,16,False
1,1,1,0,19,False
1,2,0,0,15,False
2,1,0,0,19,False
1,2,1,0,19,False
1,1,1,0,15,False
1,1,0,0,16,False
2,1,2,0,17,False
1,1,1,0,15,False
1,1,1,0,25,False
2,1,1,0,46,False
1,1,1,0,20,False
1,1,1,0,13,False
1,1,3,0,13,False
1,3,1,1,16,False
0,2,0,0,28,False
2,2,1,0,26,False
2,1,1,1,19,False
1,1,0,1,16,True
