Shimpei Takahashi,Linda Hill,Vincent Cochetel,Robyn Stein DeLuca,Iraola,isPartial
0,28,0,0,28,False
0,51,0,0,37,False
0,57,0,0,17,False
0,71,0,0,31,False
0,46,0,0,27,False
0,38,0,0,35,False
0,32,0,0,28,False
0,52,0,0,39,False
0,41,10,0,31,False
0,28,0,0,21,False
0,49,0,0,14,False
0,36,0,0,33,False
0,60,0,0,26,False
0,39,0,0,23,False
0,45,0,0,18,False
0,48,0,0,17,False
0,42,7,0,17,False
0,30,0,0,15,False
0,28,8,0,15,False
0,34,0,0,15,False
0,35,0,0,29,False
0,37,0,0,31,False
0,44,0,0,27,False
0,41,0,0,23,False
0,52,0,0,16,False
0,24,0,0,20,False
0,40,5,0,38,False
0,36,5,0,19,False
0,40,0,0,25,False
0,38,0,0,26,False
0,50,0,0,29,False
0,38,0,0,24,False
0,42,0,0,20,False
0,28,0,0,20,False
0,31,0,0,21,False
0,27,0,0,32,False
0,18,0,0,23,False
0,35,0,0,30,False
0,45,0,0,34,False
0,23,0,0,21,False
0,32,0,0,22,False
0,39,0,0,28,False
0,39,0,0,16,False
0,35,0,0,21,False
0,27,0,0,30,False
0,30,0,0,27,False
0,29,0,0,16,False
0,33,0,0,26,False
0,40,0,0,22,False
0,35,0,0,27,False
0,31,0,0,26,False
0,39,0,0,32,False
0,31,0,0,29,False
0,79,0,0,18,False
0,56,0,0,21,False
0,40,2,0,34,False
0,42,2,0,33,False
0,41,0,0,29,False
0,36,0,0,28,False
0,38,0,0,27,False
0,41,0,0,28,False
0,30,0,0,29,False
0,35,0,0,23,False
0,40,0,0,29,False
0,40,0,0,28,False
0,45,2,0,23,False
0,33,0,0,25,False
0,40,2,0,26,False
0,36,0,0,37,False
0,30,0,0,32,False
0,29,1,0,32,False
0,32,0,0,32,False
0,30,0,0,35,False
0,33,1,0,23,False
0,34,1,0,25,False
0,26,1,0,26,False
0,29,1,0,26,False
0,32,1,0,27,False
0,38,0,0,18,False
0,35,2,0,23,False
0,34,0,0,33,False
0,35,0,0,33,False
0,23,0,0,41,False
0,32,1,0,29,False
0,33,3,0,26,False
0,26,2,0,31,False
0,30,0,0,39,False
0,26,1,0,29,False
0,23,0,0,31,False
0,27,2,0,28,False
0,27,2,0,24,False
0,30,2,0,34,False
0,34,1,0,32,False
0,25,0,0,25,False
0,26,1,0,27,False
0,28,0,0,23,False
0,30,1,0,24,False
0,26,0,0,25,False
1,31,1,0,55,False
0,33,1,0,27,False
0,30,1,0,39,False
0,22,1,0,26,False
0,26,1,0,24,False
0,26,1,0,24,False
0,20,0,0,25,False
0,30,0,0,25,False
0,28,1,0,20,False
0,21,1,0,24,False
0,24,1,0,25,False
0,23,0,0,25,False
0,25,1,0,21,False
0,26,1,0,25,False
0,22,0,0,21,False
0,24,0,0,22,False
0,23,0,0,23,False
0,23,0,0,23,False
0,22,1,0,25,False
0,22,1,0,24,False
0,23,1,0,24,False
0,20,0,0,24,False
0,25,0,0,24,False
0,26,1,0,23,False
0,22,0,0,26,False
0,22,0,0,18,False
0,26,0,0,21,False
0,24,0,0,19,False
0,26,1,0,20,False
1,30,1,0,29,False
0,25,0,0,30,False
0,28,0,0,26,False
0,25,1,0,26,False
0,25,1,0,19,False
0,25,0,0,22,False
0,26,1,0,25,False
1,26,5,1,31,False
0,25,2,1,36,False
1,22,1,0,100,False
0,21,1,0,40,False
0,21,1,0,48,False
0,24,3,0,33,False
0,22,1,0,27,False
1,25,0,0,22,False
0,22,0,0,20,False
0,18,0,0,22,False
0,25,0,0,24,False
0,25,1,0,18,False
0,31,1,0,21,False
1,22,2,0,20,False
0,22,1,0,26,False
0,19,1,0,24,False
0,18,0,0,27,False
0,19,1,0,16,False
0,23,0,0,22,False
0,18,0,0,22,False
0,18,1,0,27,False
0,21,0,0,20,False
0,19,0,0,17,False
0,24,0,0,19,False
0,22,1,0,18,False
0,22,0,0,17,False
0,17,0,0,19,False
0,23,4,0,18,False
0,17,1,0,17,False
0,20,0,0,15,False
0,28,0,0,14,False
0,22,0,0,14,False
0,20,0,1,15,False
0,21,1,0,11,False
0,20,0,0,16,False
0,20,1,0,18,False
0,21,1,0,17,False
0,19,0,0,12,False
0,18,1,0,16,False
0,20,0,0,17,False
0,19,0,0,15,False
0,19,0,0,16,False
0,20,0,0,17,False
0,19,1,0,19,False
0,18,0,1,15,False
0,18,0,0,15,False
0,19,0,0,15,False
0,20,1,0,18,False
0,17,1,0,15,False
0,19,0,0,16,False
0,19,0,0,19,False
0,19,0,0,15,False
0,17,0,0,19,False
0,18,1,0,19,False
0,17,0,0,15,False
0,20,1,0,16,False
0,18,0,0,17,False
0,17,0,0,15,False
0,20,1,0,25,False
0,14,0,0,46,False
0,16,0,0,20,False
0,16,0,0,13,False
0,17,0,0,13,False
0,18,1,0,16,False
0,19,0,0,28,False
0,16,0,0,26,False
0,16,0,0,19,False
0,14,0,0,16,True
