Sue Austin,Jarrett J. Krosoczka,Boghuma Kabisen Titanji,Andy Puddicombe,Iraola,isPartial
32,0,0,0,47,False
24,0,0,0,26,False
19,0,0,0,19,False
15,0,0,0,30,False
19,0,0,0,22,False
39,0,0,0,26,False
18,0,0,0,36,False
21,0,0,0,38,False
12,0,0,0,31,False
12,0,0,0,40,False
18,0,0,0,32,False
28,0,0,0,33,False
19,0,0,0,26,False
26,0,0,0,24,False
9,0,0,0,28,False
14,0,0,0,45,False
11,0,0,0,20,False
28,0,0,0,31,False
20,0,0,0,29,False
19,0,0,0,19,False
34,0,0,0,30,False
16,0,0,0,26,False
35,0,0,0,35,False
16,0,0,0,19,False
12,0,0,0,14,False
22,6,0,0,31,False
13,0,0,0,38,False
16,6,0,0,27,False
12,0,0,0,37,False
13,0,0,0,34,False
22,0,0,6,37,False
7,0,0,0,26,False
15,0,0,0,26,False
37,4,0,0,24,False
15,0,0,0,17,False
11,0,0,0,32,False
16,0,0,0,30,False
19,0,0,0,39,False
10,0,0,0,34,False
11,0,0,0,20,False
12,0,0,0,17,False
5,0,0,0,25,False
14,0,0,0,28,False
12,3,0,0,27,False
11,0,0,0,35,False
10,3,0,0,24,False
13,0,0,0,23,False
18,0,0,0,31,False
10,0,0,0,24,False
8,0,0,0,26,False
8,0,0,0,31,False
9,2,0,0,29,False
8,0,0,0,34,False
6,0,0,0,29,False
9,2,0,0,20,False
14,0,0,0,33,False
9,0,0,0,37,False
11,0,0,0,36,False
9,0,0,0,35,False
15,0,0,0,38,False
4,0,0,0,37,False
12,2,0,0,37,False
8,0,0,0,26,False
10,2,0,0,29,False
8,2,0,0,29,False
11,2,0,0,36,False
12,2,0,0,25,False
12,0,0,0,28,False
9,2,0,0,38,False
17,2,0,0,36,False
23,2,0,0,37,False
10,0,0,0,31,False
9,1,0,0,43,False
9,0,0,0,29,False
7,0,0,2,25,False
11,1,0,1,28,False
9,0,0,2,27,False
9,0,0,1,31,False
10,1,0,3,29,False
6,0,0,0,29,False
11,1,0,1,37,False
10,0,0,1,31,False
9,0,0,0,46,False
8,0,0,0,36,False
8,1,0,3,30,False
10,1,0,2,37,False
6,1,0,1,48,False
8,1,0,3,30,False
9,2,0,1,41,False
11,0,0,3,38,False
11,0,0,2,28,False
7,0,0,2,51,False
9,0,0,0,33,False
5,0,0,1,30,False
7,1,0,1,30,False
10,1,0,2,25,False
5,1,0,2,30,False
7,1,0,1,30,False
8,0,0,1,58,False
7,0,0,2,32,False
7,1,0,2,42,False
4,0,0,2,31,False
11,0,0,2,24,False
13,0,0,2,28,False
18,1,0,2,34,False
11,1,0,2,26,False
4,1,0,2,23,False
8,1,0,2,29,False
19,4,0,22,27,False
10,1,0,15,26,False
7,1,0,8,24,False
7,1,0,7,25,False
6,1,0,3,23,False
15,1,0,8,23,False
12,0,0,13,27,False
9,0,0,8,26,False
9,1,0,8,26,False
8,1,1,13,26,False
7,1,1,10,26,False
8,1,0,7,23,False
7,1,0,10,26,False
10,1,0,10,27,False
15,2,0,10,30,False
9,1,0,10,20,False
8,1,1,10,22,False
10,0,0,9,22,False
12,0,0,9,26,False
7,1,0,11,35,False
6,1,0,10,36,False
6,1,0,8,27,False
6,0,1,8,29,False
7,0,0,11,22,False
7,1,0,12,26,False
7,1,1,10,27,False
5,1,0,10,41,False
7,0,1,13,45,False
6,0,0,12,100,False
6,1,0,13,45,False
12,1,0,11,52,False
7,1,0,10,37,False
7,1,0,11,31,False
7,0,0,9,23,False
5,0,0,7,27,False
6,1,0,10,25,False
5,1,0,11,28,False
5,1,0,10,21,False
6,1,0,12,25,False
6,1,0,10,22,False
7,0,0,10,34,False
5,1,0,10,29,False
11,0,1,10,30,False
5,1,0,10,19,False
5,1,0,12,25,False
4,1,0,13,26,False
5,1,0,9,30,False
3,0,0,9,23,False
7,1,0,12,17,False
6,1,0,13,21,False
5,0,0,15,21,False
5,0,0,9,21,False
7,1,0,13,26,False
4,0,0,10,19,False
12,0,0,7,20,False
5,1,0,15,18,False
6,1,0,8,16,False
4,0,0,8,19,False
4,0,0,6,16,False
5,0,0,8,15,False
5,0,0,13,19,False
5,0,0,13,17,False
6,0,0,11,18,False
4,0,0,8,16,False
5,0,0,9,17,False
5,0,0,11,16,False
7,1,0,10,16,False
5,1,0,10,20,False
5,1,0,10,22,False
7,3,0,12,22,False
4,1,0,10,19,False
6,1,0,17,20,False
6,0,0,18,15,False
4,0,0,14,20,False
4,1,0,15,16,False
6,1,0,12,20,False
6,1,0,11,21,False
4,1,0,7,17,False
13,1,0,8,20,False
5,1,0,11,19,False
5,0,0,13,18,False
3,1,0,11,17,False
5,1,0,8,17,False
5,0,0,8,18,False
5,1,0,9,28,False
5,1,0,8,56,False
4,1,0,8,25,False
4,1,0,13,18,False
6,1,0,14,15,False
4,0,0,10,18,False
5,0,0,9,36,False
6,1,0,9,27,False
4,1,0,11,22,False
5,1,0,10,19,True
