Alyssa Monks,Tasos Frantzolas,Silk Road Ensemble + Rhiannon Giddens,Kelli Jean Drinkwater,Iraola,isPartial
11,0,0,0,22,False
0,0,0,0,29,False
13,0,0,0,13,False
0,0,10,0,24,False
0,0,0,0,21,False
9,0,0,0,27,False
0,0,0,0,22,False
0,0,9,0,30,False
8,0,8,0,24,False
0,0,0,0,16,False
0,0,8,0,11,False
0,0,8,0,25,False
7,0,13,0,20,False
0,0,0,0,17,False
0,0,12,0,14,False
0,0,10,0,13,False
6,0,9,0,13,False
0,0,12,0,12,False
6,0,0,0,12,False
0,0,6,0,11,False
5,0,10,0,22,False
0,0,5,0,24,False
5,0,5,0,21,False
5,0,14,0,17,False
0,0,8,0,13,False
0,0,6,0,16,False
6,0,7,0,30,False
4,0,0,0,15,False
7,0,4,0,19,False
6,0,8,0,20,False
4,0,29,0,23,False
7,0,4,0,19,False
3,0,10,0,16,False
3,0,11,0,15,False
0,0,4,3,16,False
0,0,3,0,25,False
0,0,11,0,18,False
0,0,7,0,23,False
7,0,7,0,26,False
0,0,3,0,16,False
4,0,4,0,17,False
2,0,3,0,21,False
0,0,3,0,12,False
2,0,6,0,17,False
2,0,3,0,23,False
2,0,5,0,21,False
2,0,2,0,12,False
3,0,3,0,20,False
3,0,3,0,17,False
2,0,4,0,21,False
3,0,2,0,20,False
3,0,3,0,24,False
2,0,2,0,22,False
0,0,2,0,14,False
0,0,3,0,16,False
2,0,3,0,26,False
3,0,2,0,26,False
0,0,2,0,22,False
3,0,3,0,22,False
1,0,3,0,21,False
2,0,3,0,22,False
3,1,3,0,22,False
2,0,4,0,18,False
2,0,3,0,23,False
3,0,3,0,22,False
2,0,8,0,18,False
2,0,4,0,19,False
3,0,3,0,20,False
43,0,6,0,29,False
7,0,2,0,25,False
4,0,2,0,25,False
4,0,2,1,25,False
3,0,3,0,27,False
8,1,5,1,18,False
5,0,5,1,19,False
6,0,6,0,20,False
7,0,3,0,20,False
3,0,2,1,21,False
5,0,5,0,14,False
9,0,8,0,18,False
7,0,2,0,25,False
8,0,4,0,26,False
5,0,2,0,31,False
7,0,3,1,22,False
4,0,3,0,20,False
6,0,4,0,24,False
7,0,6,1,30,False
6,0,6,1,22,False
6,0,2,0,24,False
5,0,4,0,21,False
3,0,1,0,18,False
3,0,2,0,26,False
6,0,2,0,25,False
5,0,2,0,19,False
7,0,2,0,21,False
7,0,11,0,18,False
9,0,4,0,18,False
8,0,3,0,19,False
7,0,4,0,42,False
8,1,2,0,21,False
5,0,3,0,30,False
8,0,3,0,20,False
42,0,2,0,19,False
8,0,1,0,18,False
13,0,3,0,19,False
10,0,4,0,19,False
9,0,2,0,16,False
11,0,3,0,19,False
12,0,2,0,19,False
15,0,4,0,19,False
9,0,4,0,16,False
10,0,2,0,19,False
11,0,2,0,17,False
6,0,1,0,17,False
10,0,2,0,18,False
6,0,3,0,18,False
6,0,6,0,20,False
8,0,6,0,19,False
6,0,5,0,19,False
7,0,14,0,19,False
6,0,10,0,18,False
6,0,6,0,18,False
6,0,6,0,20,False
6,0,5,0,14,False
4,0,8,1,16,False
3,0,5,0,15,False
4,0,2,0,16,False
6,0,3,0,23,False
8,0,9,0,24,False
5,0,4,0,20,False
3,0,23,0,20,False
3,0,27,0,15,False
7,0,28,1,17,False
5,0,57,1,19,False
5,0,28,1,24,False
6,0,56,1,28,False
3,0,24,1,77,False
2,0,22,1,31,False
4,0,25,0,37,False
3,0,18,0,25,False
5,0,16,0,21,False
3,0,13,0,17,False
4,0,19,0,16,False
4,0,33,1,17,False
3,0,100,1,18,False
3,0,27,0,14,False
3,0,19,0,16,False
3,0,18,0,16,False
4,0,13,1,20,False
3,0,18,1,19,False
3,0,21,0,21,False
2,0,17,0,12,False
2,0,22,1,17,False
4,0,30,1,17,False
8,0,33,4,21,False
3,0,25,2,16,False
3,0,32,1,13,False
5,0,52,1,15,False
3,0,50,4,14,False
3,0,31,1,13,False
3,0,40,2,15,False
2,0,33,1,14,False
1,0,33,1,13,False
2,0,29,1,12,False
2,0,26,2,10,False
2,0,32,1,11,False
2,0,27,1,12,False
1,0,20,1,9,False
2,0,17,0,12,False
3,0,23,1,14,False
3,0,18,1,13,False
5,0,25,1,10,False
3,0,19,1,12,False
2,0,18,1,13,False
2,0,34,1,12,False
2,0,17,1,13,False
3,0,12,2,13,False
3,0,12,2,14,False
2,0,13,1,11,False
2,0,15,2,12,False
3,0,16,1,12,False
2,0,19,1,14,False
3,0,19,1,12,False
2,0,20,1,13,False
2,0,37,1,15,False
1,0,20,0,12,False
1,0,24,1,14,False
1,0,15,1,15,False
2,0,74,0,11,False
2,0,28,0,12,False
2,0,25,1,13,False
1,0,30,1,11,False
1,0,20,1,19,False
1,0,19,1,36,False
2,0,18,0,15,False
2,0,14,1,10,False
2,0,16,1,10,False
1,0,23,1,12,False
2,0,17,1,21,False
1,0,14,1,20,False
1,0,13,1,14,False
1,0,12,0,13,True
