Eric Haseltine,Emma Marris,Lisa Dyson,Gerard Ryle,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
11,0,0,0,35,False
0,0,0,0,28,False
11,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
11,0,11,0,14,False
0,0,19,0,33,False
0,0,9,0,26,False
0,9,0,0,23,False
0,0,8,0,18,False
8,0,0,0,17,False
7,0,7,0,17,False
0,0,0,0,15,False
8,0,0,0,15,False
0,0,0,7,15,False
7,0,0,7,29,False
9,0,6,0,31,False
0,0,0,0,27,False
6,0,0,6,23,False
5,5,5,0,16,False
8,0,6,0,20,False
5,0,0,0,38,False
5,5,0,0,19,False
0,5,5,0,25,False
0,0,5,0,26,False
5,0,5,0,29,False
0,0,5,0,24,False
4,4,4,0,20,False
4,4,8,0,20,False
0,0,0,0,21,False
4,0,4,0,32,False
0,3,3,3,23,False
7,0,4,0,30,False
0,0,3,0,34,False
0,0,3,0,21,False
0,3,0,0,22,False
0,0,3,0,28,False
0,0,0,0,16,False
0,0,3,0,21,False
3,0,3,0,30,False
0,0,2,0,27,False
2,2,2,0,16,False
3,0,0,0,26,False
0,0,7,0,22,False
0,2,5,0,27,False
2,0,0,0,26,False
4,0,2,0,32,False
0,0,2,2,29,False
2,0,0,0,18,False
0,4,4,0,21,False
3,2,0,0,34,False
2,2,0,2,33,False
0,2,5,0,29,False
0,0,2,2,28,False
0,0,2,2,27,False
0,0,0,0,28,False
2,3,2,0,29,False
2,0,3,0,23,False
3,2,3,0,29,False
0,0,0,2,28,False
0,0,2,2,23,False
0,0,2,2,25,False
0,0,2,0,26,False
3,0,2,1,37,False
1,1,4,1,32,False
1,0,0,1,32,False
0,0,0,3,32,False
0,2,2,0,35,False
2,0,2,1,23,False
0,0,2,1,25,False
0,0,2,0,26,False
0,1,0,0,26,False
2,1,2,0,27,False
1,0,3,1,18,False
1,1,2,0,23,False
0,1,2,0,33,False
1,0,2,1,33,False
2,1,1,0,41,False
1,0,2,0,29,False
1,0,2,1,26,False
1,1,2,1,31,False
1,1,2,0,39,False
1,0,1,0,29,False
2,1,2,0,31,False
1,0,1,1,28,False
1,1,3,0,24,False
1,2,1,1,34,False
2,1,2,0,32,False
1,0,1,0,25,False
2,2,2,0,27,False
1,1,2,0,23,False
1,0,2,1,24,False
0,1,2,1,25,False
1,1,1,0,55,False
1,1,1,0,27,False
0,1,1,1,39,False
1,0,1,0,26,False
0,1,1,0,24,False
0,1,1,0,24,False
0,1,1,0,25,False
1,0,1,0,25,False
1,1,1,1,20,False
0,2,1,0,24,False
1,1,2,0,25,False
1,1,1,0,25,False
1,1,1,0,21,False
0,2,1,3,25,False
1,1,1,1,21,False
1,1,1,1,22,False
1,1,1,0,23,False
1,1,1,1,23,False
1,1,1,1,25,False
1,1,1,0,24,False
1,1,2,1,24,False
0,1,1,0,24,False
0,0,0,0,24,False
1,1,1,0,23,False
0,0,1,0,26,False
0,0,1,0,18,False
0,0,1,0,21,False
1,0,1,0,19,False
0,1,1,1,20,False
0,2,2,1,29,False
0,1,1,0,30,False
0,0,1,0,26,False
0,1,1,1,26,False
0,0,1,0,19,False
0,0,1,0,22,False
1,0,1,1,25,False
0,0,1,0,31,False
0,0,1,0,36,False
1,0,0,0,100,False
1,0,1,0,40,False
0,0,1,1,48,False
0,1,1,1,33,False
0,1,1,0,27,False
0,1,1,0,22,False
0,0,1,0,20,False
0,0,1,0,22,False
0,0,1,0,24,False
0,0,0,1,18,False
0,0,1,0,21,False
0,0,2,6,20,False
0,1,1,1,26,False
0,0,2,0,24,False
1,1,3,1,27,False
1,1,2,1,16,False
0,1,2,1,22,False
0,1,2,0,22,False
1,1,3,0,27,False
0,1,2,1,20,False
0,1,1,1,17,False
0,1,1,0,19,False
1,1,1,0,18,False
0,1,1,0,17,False
0,1,1,0,19,False
0,1,1,0,18,False
1,0,1,0,17,False
1,0,1,0,15,False
0,0,1,0,14,False
1,1,1,0,14,False
0,1,1,0,15,False
0,1,2,0,11,False
0,0,1,1,16,False
1,2,1,0,18,False
0,0,1,0,17,False
1,1,1,0,12,False
0,1,1,0,16,False
0,1,1,0,17,False
0,1,1,0,15,False
1,0,1,0,16,False
0,0,1,0,17,False
0,1,2,0,19,False
0,0,1,0,15,False
0,1,1,0,15,False
0,0,1,0,15,False
0,1,1,0,18,False
0,1,1,0,15,False
1,1,1,0,16,False
0,1,1,0,19,False
0,1,1,0,15,False
1,0,2,0,19,False
0,1,1,0,19,False
0,1,0,0,15,False
0,0,2,1,16,False
0,1,1,0,17,False
0,0,1,0,15,False
0,1,1,0,25,False
0,1,2,0,46,False
1,1,1,0,20,False
0,1,2,0,13,False
0,2,1,0,13,False
0,0,1,0,16,False
1,0,2,0,28,False
0,0,1,0,26,False
1,1,1,1,19,False
0,1,1,0,16,True
