Aspen Baker,Alec Soth + Stacey Baker,Salvatore Iaconesi,Marlene Zuk,Iraola,isPartial
0,14,0,0,28,False
0,14,0,14,37,False
0,26,0,0,17,False
0,20,0,0,31,False
0,23,0,0,27,False
0,23,0,0,35,False
12,48,0,0,28,False
11,15,0,0,39,False
0,15,0,10,31,False
0,10,0,0,21,False
0,32,0,0,14,False
10,10,0,0,33,False
9,13,0,9,26,False
9,14,0,9,23,False
8,25,0,0,18,False
0,13,0,0,17,False
0,20,0,7,17,False
7,23,0,0,15,False
8,15,0,0,15,False
7,11,0,0,15,False
10,9,0,7,29,False
6,9,0,12,31,False
6,16,0,6,27,False
6,14,0,6,23,False
0,22,0,0,16,False
8,20,0,6,20,False
5,19,0,5,38,False
5,22,0,0,19,False
0,26,0,0,25,False
0,8,0,0,26,False
5,15,5,0,29,False
5,9,0,0,24,False
4,12,0,0,20,False
0,18,0,8,20,False
6,19,4,4,21,False
4,17,0,0,32,False
3,24,0,0,23,False
4,24,0,0,30,False
7,27,0,3,34,False
3,28,0,0,21,False
0,26,0,6,22,False
3,39,0,3,28,False
3,18,0,3,16,False
6,15,0,3,21,False
4,21,0,3,30,False
2,37,0,4,27,False
0,22,2,0,16,False
5,24,0,0,26,False
5,21,0,3,22,False
2,28,0,2,27,False
2,21,0,4,26,False
0,24,2,2,32,False
4,21,0,2,29,False
2,20,0,2,18,False
0,17,2,2,21,False
0,21,0,0,34,False
2,21,0,2,33,False
2,21,0,2,29,False
5,22,0,0,28,False
4,23,0,4,27,False
2,16,2,3,28,False
5,21,0,2,29,False
2,15,0,0,23,False
3,19,0,2,29,False
2,17,0,2,28,False
2,16,2,2,23,False
2,11,0,2,25,False
2,14,0,2,26,False
3,15,0,1,37,False
3,15,0,1,32,False
3,14,0,1,32,False
2,14,0,3,32,False
2,19,0,2,35,False
1,21,0,1,23,False
1,18,0,1,25,False
2,20,0,1,26,False
2,19,0,1,26,False
2,11,0,0,27,False
1,13,0,0,18,False
1,12,1,1,23,False
2,19,0,1,33,False
2,23,0,1,33,False
3,24,1,0,41,False
1,21,0,0,29,False
2,23,0,1,26,False
2,18,0,0,31,False
3,15,0,1,39,False
2,19,0,0,29,False
1,22,0,1,31,False
1,19,0,2,28,False
1,18,1,1,24,False
2,13,0,2,34,False
1,19,0,1,32,False
1,23,0,3,25,False
2,24,0,1,27,False
2,18,0,1,23,False
1,17,1,1,24,False
1,23,0,1,25,False
2,21,1,1,55,False
1,18,1,1,27,False
1,14,1,1,39,False
2,11,1,1,26,False
1,12,0,1,24,False
1,13,0,1,24,False
1,15,20,1,25,False
1,16,4,1,25,False
2,18,4,3,20,False
1,17,1,1,24,False
2,16,1,1,25,False
2,19,1,1,25,False
2,16,1,3,21,False
1,19,1,5,25,False
1,12,1,2,21,False
1,12,1,1,22,False
1,14,2,1,23,False
1,9,1,1,23,False
1,14,1,1,25,False
1,13,1,1,24,False
1,13,1,1,24,False
2,12,1,1,24,False
1,11,1,1,24,False
2,14,1,1,23,False
1,10,0,1,26,False
1,14,1,1,18,False
1,13,1,0,21,False
1,13,1,1,19,False
1,10,1,1,20,False
1,9,0,1,29,False
1,13,1,1,30,False
2,15,1,0,26,False
1,15,1,1,26,False
1,10,1,1,19,False
1,12,0,0,22,False
1,15,1,1,25,False
1,15,0,1,31,False
1,13,0,2,36,False
1,11,1,0,100,False
2,11,0,0,40,False
3,8,1,1,48,False
3,11,1,1,33,False
1,13,1,1,27,False
1,27,0,1,22,False
1,18,1,1,20,False
1,14,1,0,22,False
1,14,1,1,24,False
2,19,1,1,18,False
1,14,1,1,21,False
2,12,1,1,20,False
2,10,1,1,26,False
2,8,1,0,24,False
1,10,0,0,27,False
1,8,1,0,16,False
1,9,0,0,22,False
1,12,1,0,22,False
1,9,0,1,27,False
1,8,1,1,20,False
1,9,0,0,17,False
1,10,1,1,19,False
1,11,0,1,18,False
1,11,1,1,17,False
1,10,0,1,19,False
2,8,0,0,18,False
1,8,0,1,17,False
1,8,0,1,15,False
1,15,1,0,14,False
2,13,0,1,14,False
1,13,0,1,15,False
1,10,0,1,11,False
1,9,0,0,16,False
2,9,0,1,18,False
1,10,0,1,17,False
1,11,1,0,12,False
1,9,1,0,16,False
2,6,0,1,17,False
1,7,0,0,15,False
2,5,1,0,16,False
1,7,0,0,17,False
1,10,0,1,19,False
2,11,0,1,15,False
1,9,0,0,15,False
1,12,1,1,15,False
1,8,1,2,18,False
1,14,0,0,15,False
1,14,0,1,16,False
1,9,0,0,19,False
1,8,0,0,15,False
1,7,1,0,19,False
1,8,0,0,19,False
2,6,0,0,15,False
1,10,0,1,16,False
1,10,0,1,17,False
1,10,0,0,15,False
2,7,0,0,25,False
2,10,0,0,46,False
2,8,0,0,20,False
1,13,0,0,13,False
1,12,1,0,13,False
1,7,0,0,16,False
1,7,0,0,28,False
0,8,0,0,26,False
1,12,0,0,19,False
1,10,0,0,16,True
