Tea Uglow,Francesco Sauro,Hilary Cottam,Christine Sun Kim,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,17,0,17,False
0,0,0,0,31,False
0,11,11,0,27,False
0,0,0,11,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,11,0,0,14,False
0,0,0,0,33,False
0,0,9,0,26,False
0,0,9,0,23,False
0,0,8,0,18,False
0,0,0,0,17,False
0,0,7,0,17,False
0,0,17,0,15,False
0,0,8,0,15,False
0,0,7,0,15,False
0,7,7,0,29,False
0,0,6,0,31,False
0,0,0,0,27,False
0,0,9,0,23,False
0,0,5,0,16,False
0,0,0,0,20,False
0,0,0,0,38,False
0,0,0,0,19,False
0,0,9,0,25,False
0,0,0,0,26,False
0,0,5,0,29,False
0,0,0,0,24,False
0,4,0,4,20,False
0,0,4,0,20,False
0,4,0,0,21,False
0,0,0,0,32,False
0,0,3,0,23,False
0,0,5,0,30,False
0,3,0,0,34,False
0,0,3,0,21,False
0,3,3,0,22,False
0,3,0,0,28,False
0,0,0,0,16,False
0,3,3,0,21,False
0,3,0,0,30,False
0,2,2,0,27,False
0,0,0,0,16,False
0,0,0,3,26,False
0,2,2,0,22,False
0,2,2,0,27,False
0,0,0,0,26,False
0,0,2,0,32,False
0,2,2,0,29,False
0,4,0,0,18,False
2,0,2,0,21,False
0,2,2,0,34,False
0,2,6,0,33,False
0,2,2,0,29,False
0,2,0,0,28,False
0,2,0,0,27,False
0,3,2,0,28,False
0,2,0,0,29,False
0,2,2,0,23,False
0,0,0,2,29,False
0,2,0,0,28,False
0,1,2,1,23,False
0,0,2,0,25,False
0,3,0,2,26,False
0,3,1,0,37,False
0,1,0,0,32,False
0,1,0,0,32,False
0,3,1,0,32,False
0,4,1,0,35,False
0,0,1,0,23,False
0,0,1,1,25,False
0,1,1,1,26,False
0,1,1,0,26,False
0,1,1,0,27,False
0,2,1,0,18,False
0,1,0,0,23,False
0,1,0,0,33,False
0,0,1,0,33,False
0,0,1,1,41,False
0,1,1,0,29,False
0,1,0,0,26,False
0,2,2,1,31,False
0,1,2,0,39,False
0,1,3,0,29,False
0,0,1,0,31,False
0,0,2,0,28,False
0,1,1,0,24,False
0,1,0,0,34,False
0,1,1,0,32,False
0,1,0,1,25,False
0,1,0,3,27,False
0,1,1,1,23,False
0,0,1,1,24,False
0,1,0,1,25,False
0,0,1,1,55,False
0,1,0,1,27,False
0,1,0,1,39,False
0,1,1,1,26,False
0,2,0,0,24,False
0,1,0,0,24,False
0,1,0,1,25,False
0,1,1,1,25,False
0,2,0,1,20,False
0,0,0,2,24,False
0,1,1,1,25,False
0,1,1,2,25,False
0,0,1,1,21,False
0,0,1,1,25,False
0,1,1,1,21,False
0,1,1,1,22,False
0,1,1,1,23,False
0,1,1,1,23,False
0,1,0,1,25,False
0,2,1,1,24,False
0,1,1,1,24,False
0,1,1,1,24,False
0,1,0,1,24,False
0,1,0,1,23,False
0,0,1,0,26,False
0,0,0,1,18,False
0,0,0,1,21,False
0,1,1,1,19,False
0,1,1,1,20,False
0,1,0,1,29,False
0,1,1,1,30,False
0,0,0,1,26,False
0,1,1,1,26,False
0,0,1,1,19,False
0,1,0,0,22,False
0,1,0,1,25,False
0,1,0,0,31,False
0,0,0,2,36,False
0,0,0,1,100,False
0,0,1,1,40,False
0,1,0,1,48,False
0,1,0,1,33,False
0,0,0,1,27,False
0,1,1,2,22,False
0,0,2,3,20,False
0,1,1,3,22,False
0,1,1,1,24,False
0,1,1,2,18,False
0,1,1,1,21,False
0,1,0,1,20,False
0,1,1,1,26,False
0,3,0,1,24,False
0,1,0,1,27,False
0,2,1,2,16,False
0,1,0,1,22,False
0,1,0,2,22,False
0,0,0,2,27,False
0,2,0,1,20,False
0,1,0,1,17,False
0,1,0,1,19,False
1,1,0,2,18,False
0,1,0,2,17,False
1,1,0,1,19,False
0,1,1,1,18,False
1,1,1,1,17,False
0,1,1,1,15,False
0,1,1,1,14,False
0,1,0,1,14,False
0,0,1,1,15,False
0,1,1,1,11,False
0,1,0,0,16,False
1,0,0,6,18,False
1,1,0,2,17,False
1,0,1,1,12,False
1,1,1,1,16,False
1,0,1,1,17,False
1,1,0,1,15,False
0,1,1,1,16,False
0,1,1,1,17,False
0,0,1,2,19,False
1,1,1,1,15,False
0,1,1,1,15,False
0,0,1,1,15,False
1,1,0,2,18,False
1,0,1,1,15,False
1,1,1,0,16,False
0,0,1,2,19,False
2,0,1,1,15,False
1,0,1,1,19,False
1,0,2,1,19,False
1,0,1,1,15,False
1,0,1,2,16,False
1,0,1,1,17,False
1,1,2,0,15,False
0,0,2,2,25,False
1,1,2,13,46,False
1,1,1,1,20,False
1,0,1,2,13,False
1,0,1,2,13,False
0,1,1,1,16,False
1,1,1,1,28,False
0,0,1,1,26,False
0,1,1,1,19,False
0,0,1,2,16,True
