Peter van Uhm,Bill Doyle,Shawn Achor,Erica Frenkel,Iraola,isPartial
0,16,0,0,22,False
0,16,0,0,29,False
0,13,0,0,13,False
0,10,0,0,24,False
0,13,0,0,21,False
0,9,0,0,27,False
0,16,0,0,22,False
0,20,0,0,30,False
0,11,0,0,24,False
0,20,0,0,16,False
0,8,0,0,11,False
0,18,0,0,25,False
0,11,0,0,20,False
0,7,0,0,18,False
0,12,0,0,14,False
0,16,0,0,13,False
0,12,0,0,13,False
0,10,0,0,12,False
0,20,0,0,12,False
0,17,0,6,11,False
0,10,0,0,23,False
0,15,0,0,24,False
0,10,0,0,21,False
0,6,0,0,18,False
0,15,0,0,13,False
0,19,0,0,16,False
0,6,0,0,30,False
4,8,0,0,15,False
0,7,0,0,19,False
0,10,0,0,20,False
0,9,0,0,23,False
0,7,0,0,19,False
0,18,0,0,16,False
0,9,0,0,15,False
0,8,0,0,16,False
3,11,0,0,25,False
0,8,0,0,18,False
0,9,0,0,24,False
0,7,0,0,27,False
0,10,0,0,16,False
2,13,0,0,17,False
2,9,2,0,22,False
0,5,0,0,12,False
0,7,2,0,17,False
0,9,0,0,23,False
0,10,4,0,21,False
0,8,0,0,12,False
0,9,0,0,20,False
2,6,2,0,17,False
0,7,2,0,21,False
0,8,2,0,21,False
27,9,2,0,25,False
3,7,2,0,23,False
0,7,2,0,14,False
0,9,5,0,16,False
2,6,2,0,27,False
0,6,2,0,26,False
1,6,1,0,22,False
0,10,3,0,22,False
1,7,3,0,21,False
1,5,3,0,22,False
0,8,1,1,22,False
3,7,1,1,18,False
3,6,1,0,23,False
2,10,2,0,22,False
1,9,2,0,18,False
1,7,2,0,19,False
0,5,3,0,21,False
1,8,1,0,29,False
1,4,2,0,25,False
0,4,1,0,25,False
0,10,2,0,25,False
1,6,3,0,27,False
1,7,2,0,18,False
1,9,3,0,19,False
2,10,0,0,20,False
1,8,2,1,20,False
0,7,1,0,21,False
1,4,1,0,14,False
2,9,2,0,18,False
1,6,2,0,26,False
1,7,3,0,26,False
0,5,3,0,32,False
1,7,2,0,22,False
1,6,3,0,20,False
2,8,2,0,24,False
1,6,3,0,30,False
1,4,4,0,23,False
1,6,2,0,25,False
1,5,2,0,22,False
1,6,2,0,18,False
1,4,3,0,26,False
0,3,2,0,25,False
1,6,3,0,19,False
2,5,2,0,21,False
5,8,3,0,18,False
2,6,4,0,19,False
3,6,35,2,20,False
3,7,20,0,43,False
2,7,15,1,21,False
2,9,12,0,31,False
4,6,9,0,20,False
2,6,13,0,19,False
1,6,22,0,18,False
1,5,18,0,20,False
0,4,12,0,19,False
2,5,15,0,16,False
1,5,12,0,19,False
1,8,17,0,19,False
1,5,13,0,19,False
0,4,15,0,17,False
3,5,12,0,19,False
14,4,11,0,17,False
1,5,14,0,17,False
1,6,19,0,18,False
1,5,17,0,18,False
1,4,17,0,20,False
1,4,18,0,19,False
1,5,18,0,19,False
1,7,13,0,19,False
1,6,20,0,19,False
1,6,17,0,18,False
1,5,17,0,20,False
1,5,17,0,14,False
3,4,22,0,16,False
1,6,28,0,15,False
1,3,14,0,16,False
1,4,15,0,23,False
1,4,15,0,24,False
4,7,15,0,20,False
3,5,15,0,20,False
1,8,16,0,15,False
1,4,17,0,17,False
0,8,19,0,20,False
1,5,18,0,24,False
1,4,23,0,28,False
1,4,17,0,78,False
0,3,16,0,31,False
0,4,15,0,37,False
1,4,14,0,25,False
1,100,19,0,21,False
1,4,20,0,17,False
1,3,18,0,16,False
1,5,16,0,17,False
1,4,19,0,19,False
1,4,13,0,14,False
1,4,11,0,17,False
1,5,13,0,16,False
1,4,13,0,20,False
1,4,13,0,19,False
1,4,10,0,21,False
1,4,11,0,12,False
1,4,14,0,17,False
1,5,11,0,17,False
1,6,10,0,21,False
2,7,9,0,16,False
1,5,14,0,14,False
0,6,10,0,15,False
0,4,10,0,14,False
1,5,10,0,14,False
1,5,10,0,15,False
1,6,10,0,14,False
0,4,9,0,13,False
1,4,9,0,12,False
1,3,11,0,11,False
1,3,10,0,11,False
1,5,12,0,12,False
1,5,10,0,9,False
0,3,14,0,12,False
1,4,15,0,14,False
1,4,13,0,14,False
1,3,11,0,10,False
1,4,10,0,12,False
0,3,11,0,13,False
1,2,9,0,12,False
1,3,11,0,13,False
1,2,10,0,13,False
1,3,13,0,15,False
1,4,11,0,12,False
1,5,7,0,12,False
1,3,10,0,12,False
1,4,12,0,14,False
0,2,10,0,12,False
1,3,18,0,13,False
0,3,12,0,15,False
0,3,11,0,12,False
0,3,11,0,14,False
2,3,10,0,15,False
1,2,12,0,11,False
6,3,11,0,12,False
1,3,12,0,13,False
1,3,7,0,11,False
1,4,7,0,19,False
1,4,8,0,36,False
1,3,8,0,15,False
1,3,7,0,10,False
1,4,7,0,10,False
1,3,8,0,12,False
1,2,5,0,22,False
1,3,8,0,20,False
0,4,7,0,15,False
1,4,7,0,13,True
