Sophie Scott,Alice Goffman,Pamela Ronald,Abe Davis,Iraola,isPartial
14,0,14,14,28,False
42,0,28,14,37,False
17,0,34,0,17,False
18,0,13,27,31,False
23,0,0,34,27,False
17,0,23,23,35,False
24,0,0,0,28,False
22,0,23,0,39,False
21,0,21,0,31,False
11,0,0,0,21,False
11,0,11,0,14,False
20,0,10,0,33,False
9,0,17,9,26,False
9,0,9,14,23,False
27,0,15,8,18,False
8,0,17,9,17,False
30,0,7,10,17,False
8,0,15,0,15,False
8,0,0,8,15,False
12,0,7,7,15,False
18,7,7,13,29,False
15,0,9,8,31,False
21,0,6,0,27,False
29,0,6,12,23,False
11,0,5,11,16,False
17,0,6,6,20,False
14,0,5,6,38,False
5,5,8,5,19,False
14,0,7,9,25,False
16,0,15,7,26,False
20,0,5,0,29,False
15,0,14,0,24,False
22,0,9,4,20,False
17,0,5,6,20,False
23,0,12,6,21,False
31,0,10,6,32,False
34,0,6,5,23,False
60,0,7,4,30,False
42,0,0,6,34,False
50,0,7,7,21,False
58,0,7,8,22,False
44,0,3,5,28,False
45,0,6,3,16,False
29,0,5,3,21,False
34,0,3,8,30,False
32,0,2,7,27,False
18,0,2,4,16,False
29,0,4,3,26,False
28,0,7,2,22,False
22,0,3,7,27,False
34,0,4,5,26,False
23,0,4,6,32,False
26,2,7,4,29,False
36,0,5,4,18,False
28,0,5,4,21,False
23,0,5,2,34,False
21,0,5,3,33,False
17,2,3,2,29,False
13,2,6,2,28,False
22,0,6,5,27,False
23,0,7,3,28,False
21,2,5,3,29,False
15,2,5,3,23,False
15,0,8,5,29,False
19,2,4,5,28,False
20,0,3,2,23,False
16,0,4,2,25,False
16,3,3,4,26,False
21,2,2,3,37,False
17,1,6,3,32,False
16,1,3,3,32,False
18,0,4,3,32,False
20,0,2,2,35,False
17,1,2,5,23,False
14,1,2,3,25,False
18,2,5,2,26,False
17,0,2,5,26,False
18,1,5,3,27,False
16,0,3,2,18,False
21,0,4,2,23,False
17,0,2,2,33,False
14,3,4,3,33,False
16,2,4,2,41,False
15,1,3,2,29,False
13,1,3,2,26,False
13,0,3,2,31,False
13,1,3,1,39,False
17,1,3,5,29,False
16,1,2,4,31,False
14,0,2,1,28,False
13,1,3,1,24,False
14,1,3,1,34,False
10,1,2,2,32,False
14,2,2,1,25,False
13,1,1,2,27,False
14,1,2,2,23,False
14,1,3,1,24,False
13,1,2,3,25,False
10,1,2,2,55,False
13,1,3,2,27,False
12,0,3,3,39,False
15,1,2,1,26,False
10,0,3,1,24,False
15,1,2,2,24,False
11,1,3,2,25,False
13,1,1,2,25,False
13,1,1,2,20,False
13,1,2,2,24,False
13,1,2,2,25,False
11,1,3,2,25,False
11,1,2,2,21,False
15,0,2,3,25,False
12,1,2,3,21,False
13,0,1,2,22,False
15,1,2,1,23,False
17,0,2,1,23,False
16,1,3,2,25,False
13,1,3,1,24,False
11,3,4,3,24,False
10,3,1,2,24,False
14,1,3,2,24,False
15,1,3,3,23,False
13,1,4,1,26,False
11,2,3,1,18,False
14,6,3,2,21,False
13,8,2,2,19,False
19,4,2,1,20,False
14,4,1,4,29,False
14,6,4,1,30,False
12,5,1,3,26,False
11,5,1,2,26,False
13,3,1,3,19,False
11,4,1,1,22,False
11,2,3,1,25,False
11,4,2,4,31,False
15,6,2,3,36,False
14,21,6,9,100,False
13,28,4,2,40,False
11,6,4,1,48,False
13,8,2,2,33,False
11,7,2,2,27,False
10,7,1,2,22,False
10,6,3,3,20,False
15,5,3,1,22,False
11,21,3,3,24,False
13,5,2,2,18,False
12,5,2,3,21,False
11,5,3,3,20,False
14,4,2,4,26,False
15,3,2,2,24,False
23,2,1,1,27,False
19,4,1,3,16,False
15,5,1,2,22,False
13,4,3,1,22,False
9,5,1,1,27,False
10,4,1,2,20,False
11,2,2,3,17,False
8,5,1,2,19,False
9,5,1,2,18,False
9,14,2,4,17,False
14,5,2,3,19,False
8,2,1,1,18,False
11,2,1,2,17,False
13,2,2,2,15,False
15,3,3,2,14,False
14,3,2,2,14,False
10,5,2,2,15,False
21,2,1,2,11,False
14,2,1,1,16,False
14,5,2,1,18,False
14,4,2,2,17,False
10,2,2,3,12,False
15,3,2,3,16,False
19,1,1,2,17,False
14,2,1,1,15,False
14,2,2,1,16,False
10,2,2,2,17,False
10,4,1,1,19,False
11,3,1,1,15,False
12,3,1,2,15,False
12,3,2,2,15,False
10,3,1,3,18,False
10,3,2,2,15,False
11,4,2,2,16,False
19,3,2,2,19,False
18,5,1,1,15,False
14,1,1,1,19,False
10,1,1,1,19,False
14,3,1,1,15,False
10,3,1,1,16,False
10,3,1,1,17,False
9,3,1,2,15,False
11,2,2,1,25,False
12,3,1,2,46,False
11,2,1,1,20,False
13,2,1,1,13,False
13,2,2,2,13,False
12,3,1,1,16,False
12,2,1,1,28,False
12,2,2,1,26,False
11,3,1,2,19,False
11,2,1,2,16,True
