Jon Gosier,Topher White,Harry Baker,Andy Yen,Iraola,isPartial
0,0,14,14,28,False
0,0,23,14,37,False
0,0,17,0,17,False
0,0,22,0,31,False
0,0,23,0,27,False
0,12,15,11,35,False
0,0,0,0,28,False
0,0,17,0,39,False
0,10,14,0,31,False
0,0,32,10,21,False
0,0,16,0,14,False
0,0,20,10,33,False
0,0,30,9,26,False
0,9,12,0,23,False
0,0,18,8,18,False
0,0,17,0,17,False
0,0,22,0,17,False
0,0,10,8,15,False
0,8,38,8,15,False
0,7,22,0,15,False
0,0,16,0,29,False
0,6,6,0,31,False
0,0,12,6,27,False
0,0,25,6,23,False
0,5,14,7,16,False
0,0,8,6,20,False
0,5,11,0,38,False
0,5,10,5,19,False
0,5,11,0,25,False
0,0,16,0,26,False
0,0,12,5,29,False
0,5,5,5,24,False
0,0,10,0,20,False
0,0,12,0,20,False
0,0,12,0,21,False
0,0,13,6,32,False
0,0,12,7,23,False
0,0,20,0,30,False
0,0,7,0,34,False
0,0,17,0,21,False
0,0,4,0,22,False
0,0,14,0,28,False
0,3,37,3,16,False
0,0,13,3,21,False
0,0,6,0,30,False
0,2,6,2,27,False
0,0,9,2,16,False
0,0,13,3,26,False
0,2,7,2,22,False
0,2,7,2,27,False
0,0,12,2,26,False
0,0,8,2,32,False
2,0,20,2,29,False
0,2,13,3,18,False
0,2,6,2,21,False
0,0,6,2,34,False
0,0,10,2,33,False
0,0,9,2,29,False
0,0,10,4,28,False
0,2,8,3,27,False
0,0,12,3,28,False
0,2,9,2,29,False
0,0,11,3,23,False
0,2,7,2,29,False
2,2,6,2,28,False
0,0,9,2,23,False
0,2,15,2,25,False
0,2,8,2,26,False
0,0,11,3,37,False
0,0,11,0,32,False
0,1,12,0,32,False
0,0,12,3,32,False
1,1,13,2,35,False
0,3,10,2,23,False
0,1,9,2,25,False
1,1,8,4,26,False
0,1,11,3,26,False
1,1,11,4,27,False
0,1,10,2,18,False
0,1,12,1,23,False
0,0,8,3,33,False
1,0,11,3,33,False
0,2,15,2,41,False
0,0,10,2,29,False
0,2,11,2,26,False
0,2,12,3,31,False
0,1,8,2,39,False
0,1,11,3,29,False
1,2,9,2,31,False
1,1,10,2,28,False
0,1,15,1,24,False
1,2,13,4,34,False
1,1,8,1,32,False
1,0,11,3,25,False
0,1,8,3,27,False
1,2,9,3,23,False
1,1,9,3,24,False
1,1,9,1,25,False
0,1,10,2,55,False
0,1,11,2,27,False
1,1,10,2,39,False
0,2,10,2,26,False
0,1,8,1,24,False
0,1,15,2,24,False
0,0,12,1,25,False
1,1,10,2,25,False
1,1,13,2,20,False
0,1,12,2,24,False
1,1,13,2,25,False
0,1,11,3,25,False
1,0,11,2,21,False
0,1,11,3,25,False
1,2,11,2,21,False
0,1,11,3,22,False
0,1,11,2,23,False
0,1,11,4,23,False
0,1,13,3,25,False
1,1,9,3,24,False
1,1,10,3,24,False
0,1,15,3,24,False
0,0,12,2,24,False
0,1,11,1,23,False
0,0,7,2,26,False
0,1,15,3,18,False
0,1,14,3,21,False
1,1,10,2,19,False
0,1,13,3,20,False
0,1,12,2,29,False
1,1,13,2,30,False
0,1,13,2,26,False
0,1,12,4,26,False
0,1,14,2,19,False
0,1,15,2,22,False
0,1,16,2,25,False
0,3,26,6,31,False
1,2,19,6,36,False
0,2,14,2,100,False
0,1,14,4,40,False
1,1,14,3,48,False
1,1,14,2,33,False
1,3,12,2,27,False
0,1,14,2,22,False
0,2,16,2,20,False
0,1,19,3,22,False
0,2,16,3,24,False
0,1,15,2,18,False
1,1,15,3,21,False
0,1,17,3,20,False
1,1,13,2,26,False
1,1,13,4,24,False
0,1,13,2,27,False
0,1,17,2,16,False
0,1,12,2,22,False
0,1,18,1,22,False
0,1,20,1,27,False
0,1,17,2,20,False
0,1,16,2,17,False
0,1,13,3,19,False
1,1,15,2,18,False
0,1,18,4,17,False
0,1,17,2,19,False
0,1,15,1,18,False
0,1,12,2,17,False
0,1,12,3,15,False
0,1,16,3,14,False
0,0,16,6,14,False
1,1,22,6,15,False
0,1,17,4,11,False
0,1,16,4,16,False
0,1,15,3,18,False
0,2,16,3,17,False
0,1,14,1,12,False
0,1,19,4,16,False
1,1,13,2,17,False
0,1,10,3,15,False
0,2,11,2,16,False
0,1,13,3,17,False
0,1,13,1,19,False
0,1,17,2,15,False
0,0,16,2,15,False
0,0,15,3,15,False
0,1,20,2,18,False
0,1,11,1,15,False
0,2,13,2,16,False
0,1,24,1,19,False
0,2,11,2,15,False
0,1,10,2,19,False
0,1,22,2,19,False
0,1,32,2,15,False
0,2,18,3,16,False
0,1,16,2,17,False
0,1,16,2,15,False
0,1,18,2,25,False
0,1,18,3,46,False
0,1,26,2,20,False
0,1,18,2,13,False
1,1,15,2,13,False
0,1,16,2,16,False
0,1,13,2,28,False
0,1,12,2,26,False
0,1,13,2,19,False
0,1,12,1,16,True
