Marisa Fick-Jordan,Louise Leakey,Reed Kroloff,Kwabena Boahen,Iraola,isPartial
0,79,32,0,24,False
0,0,0,0,47,False
0,0,0,19,29,False
0,0,0,0,30,False
0,0,13,0,30,False
0,13,0,0,26,False
0,13,0,0,27,False
0,0,0,0,50,False
0,12,0,12,27,False
0,0,0,0,24,False
0,0,12,0,12,False
0,0,0,0,17,False
0,0,0,0,23,False
0,0,0,0,31,False
0,0,17,0,23,False
0,0,0,10,29,False
0,8,0,8,20,False
0,0,0,0,28,False
0,0,9,0,26,False
0,0,0,8,17,False
0,0,8,0,30,False
0,7,0,0,28,False
0,7,0,7,21,False
0,0,10,0,28,False
0,0,6,6,18,False
0,6,13,0,21,False
0,0,5,0,36,False
0,12,6,0,21,False
0,5,0,5,35,False
0,0,6,6,35,False
0,0,6,6,34,False
0,5,5,5,22,False
0,5,0,5,25,False
0,0,7,7,22,False
0,0,4,4,26,False
0,0,0,9,26,False
0,0,0,0,22,False
0,4,4,8,26,False
0,0,4,4,28,False
0,5,0,0,25,False
0,3,3,3,31,False
0,0,3,3,26,False
0,0,3,0,29,False
0,5,0,3,25,False
0,3,3,6,33,False
0,4,3,3,21,False
0,4,0,0,27,False
0,3,0,6,27,False
0,3,3,0,24,False
0,0,3,0,21,False
0,0,0,2,27,False
0,2,0,5,27,False
0,0,0,5,30,False
0,2,0,2,19,False
0,2,2,2,16,False
0,2,5,5,35,False
0,2,2,0,36,False
0,0,2,0,32,False
0,6,2,2,36,False
0,2,2,6,32,False
0,0,2,6,28,False
0,2,0,4,28,False
0,3,2,4,27,False
0,2,2,4,35,False
0,0,2,2,30,False
0,2,0,2,33,False
0,2,2,0,30,False
0,2,2,3,35,False
0,2,0,2,40,False
0,3,2,2,33,False
0,2,0,4,39,False
0,3,0,2,36,False
0,3,1,3,36,False
0,1,1,2,24,False
0,0,0,1,31,False
0,3,3,1,27,False
0,3,1,1,26,False
0,1,0,0,32,False
0,1,1,0,21,False
0,1,1,2,25,False
0,1,1,1,28,False
0,3,2,1,34,False
0,2,2,1,46,False
0,2,0,0,37,False
0,2,1,1,33,False
0,1,1,2,45,False
0,2,1,1,43,False
0,0,1,2,36,False
0,1,0,0,40,False
0,2,0,1,34,False
0,1,0,0,26,False
0,1,1,1,38,False
0,1,2,1,38,False
0,2,2,1,31,False
0,1,0,2,27,False
0,1,1,1,24,False
0,1,1,1,29,False
0,2,1,2,35,False
0,1,2,1,52,False
0,1,1,0,33,False
0,3,1,2,52,False
0,2,0,1,24,False
0,2,1,1,25,False
0,2,1,1,27,False
0,1,1,0,28,False
0,2,1,1,23,False
0,1,0,1,26,False
0,1,1,1,27,False
0,1,1,1,26,False
0,7,1,1,25,False
0,2,1,1,21,False
0,1,1,1,23,False
0,1,1,1,24,False
0,2,1,1,24,False
0,2,1,1,24,False
0,1,1,2,29,False
0,1,1,1,29,False
0,1,1,1,25,False
0,1,1,1,27,False
0,1,0,1,26,False
0,1,1,1,26,False
0,1,0,1,29,False
0,1,1,1,28,False
0,3,1,3,24,False
0,1,0,1,27,False
0,1,1,1,25,False
0,2,1,1,26,False
0,1,0,1,34,False
0,1,1,1,38,False
0,1,1,1,29,False
0,3,1,2,29,False
0,1,1,1,23,False
0,2,1,1,26,False
0,2,1,1,27,False
0,3,0,1,36,False
0,1,1,1,46,False
0,1,0,1,100,False
0,2,0,1,47,False
0,1,0,0,50,False
0,1,1,1,39,False
0,1,1,1,27,False
0,1,0,0,25,False
0,1,0,0,25,False
0,1,0,0,23,False
0,1,0,1,25,False
0,1,0,1,19,False
0,1,0,0,24,False
0,1,1,0,20,False
0,1,1,1,29,False
0,1,1,1,29,False
0,1,1,0,29,False
0,1,1,1,20,False
0,1,1,1,21,False
0,2,1,1,30,False
0,1,1,0,32,False
0,1,0,1,27,False
0,1,1,1,17,False
0,0,0,1,20,False
0,0,0,1,19,False
0,1,1,0,19,False
0,1,0,1,22,False
0,0,0,0,19,False
0,0,0,0,18,False
0,1,1,1,19,False
0,1,1,1,17,False
0,0,0,1,19,False
0,1,0,0,17,False
0,1,0,0,12,False
0,0,0,0,18,False
0,0,0,1,19,False
0,0,0,1,17,False
0,1,0,1,15,False
0,0,0,1,20,False
0,1,0,0,18,False
0,1,0,0,17,False
0,1,1,0,20,False
0,1,1,1,21,False
0,1,0,0,21,False
0,1,0,0,20,False
0,0,0,1,20,False
0,1,1,1,17,False
0,0,0,1,19,False
0,1,0,1,16,False
0,0,1,1,18,False
0,0,0,1,17,False
0,0,1,1,18,False
0,0,0,0,23,False
0,1,0,1,20,False
0,1,0,0,20,False
0,1,0,1,17,False
0,1,0,0,18,False
0,1,0,1,17,False
0,0,0,0,29,False
0,0,1,1,53,False
0,1,0,1,21,False
0,2,0,1,16,False
0,1,0,1,17,False
0,0,0,0,15,False
0,1,0,1,34,False
0,1,0,1,29,False
0,0,0,0,22,False
0,1,0,1,19,True
