Alyson McGregor,Anders Fjellberg,Meklit Hadero,Jennifer Doudna,Iraola,isPartial
0,0,0,8,17,False
0,0,0,8,22,False
0,0,0,0,10,False
8,0,0,8,19,False
0,0,0,7,16,False
0,0,0,0,21,False
0,0,0,0,17,False
0,0,0,7,23,False
0,0,0,6,18,False
0,0,0,12,13,False
0,0,0,9,8,False
0,0,0,6,19,False
0,0,0,0,15,False
0,0,0,5,13,False
0,0,0,0,11,False
0,0,0,0,10,False
0,0,0,0,10,False
0,0,0,0,9,False
0,0,0,0,9,False
0,0,0,4,9,False
0,0,0,8,17,False
0,0,0,6,19,False
0,0,0,4,16,False
0,0,0,0,13,False
3,0,0,3,10,False
0,0,0,3,12,False
0,0,0,0,23,False
3,0,0,6,11,False
0,0,0,3,15,False
0,0,0,3,16,False
0,0,0,3,18,False
0,0,0,0,15,False
0,0,0,3,12,False
0,0,0,5,12,False
0,0,0,2,12,False
0,2,0,2,19,False
0,0,0,6,14,False
0,0,0,2,18,False
0,0,0,3,20,False
0,0,0,0,13,False
0,0,0,2,13,False
0,0,0,2,17,False
0,0,0,2,9,False
0,0,0,3,13,False
0,0,0,2,18,False
0,0,0,1,16,False
0,0,0,1,9,False
0,0,0,2,16,False
0,0,0,0,13,False
0,0,0,1,16,False
0,0,1,1,16,False
0,0,0,3,19,False
1,0,0,0,17,False
0,0,3,3,11,False
0,0,1,1,12,False
0,0,0,2,20,False
0,0,1,1,20,False
0,0,0,2,17,False
0,1,0,2,17,False
0,0,0,2,16,False
0,0,0,3,17,False
0,0,2,2,17,False
0,0,1,2,14,False
1,0,0,2,18,False
0,0,1,2,17,False
1,0,1,1,14,False
0,0,0,0,15,False
0,0,1,1,16,False
0,0,0,1,22,False
0,0,0,1,19,False
1,0,1,1,19,False
1,0,0,1,19,False
0,0,1,1,21,False
0,0,1,1,14,False
0,0,4,1,15,False
0,0,4,1,15,False
0,0,4,1,15,False
1,0,4,1,16,False
0,0,1,1,11,False
0,0,2,1,14,False
1,0,1,1,20,False
0,0,2,1,20,False
0,0,1,1,24,False
0,1,1,2,17,False
1,0,2,0,16,False
0,0,2,1,19,False
0,0,2,2,23,False
1,1,2,1,17,False
0,0,1,1,19,False
0,0,2,1,17,False
1,0,1,1,14,False
0,0,1,1,20,False
0,0,2,0,19,False
0,0,1,1,15,False
0,0,1,1,16,False
0,0,1,1,14,False
0,0,2,1,14,False
0,0,2,1,15,False
0,0,1,1,33,False
0,1,0,0,16,False
0,0,1,1,24,False
0,0,0,1,15,False
0,0,1,0,14,False
0,0,1,1,14,False
0,0,1,0,15,False
0,0,0,1,15,False
0,0,1,0,12,False
0,0,1,1,15,False
0,0,2,1,15,False
0,0,1,1,15,False
0,0,4,1,13,False
0,0,1,1,15,False
0,0,1,1,13,False
0,0,1,0,13,False
0,0,1,1,14,False
0,1,0,1,14,False
0,0,1,1,15,False
0,0,1,1,14,False
0,1,1,1,15,False
0,0,1,1,15,False
0,0,2,1,14,False
0,0,1,1,14,False
0,0,1,2,16,False
0,0,1,1,11,False
0,0,1,1,13,False
0,0,1,1,12,False
0,0,1,1,12,False
0,0,0,1,18,False
0,0,1,1,18,False
0,0,0,3,16,False
0,0,0,3,15,False
0,0,0,2,12,False
0,0,1,2,13,False
0,0,0,3,15,False
0,0,1,4,18,False
0,0,1,5,22,False
0,0,1,5,60,False
0,1,1,2,24,False
0,1,1,3,29,False
0,0,1,2,19,False
0,0,0,4,16,False
1,1,2,5,13,False
1,0,2,6,12,False
1,0,1,7,13,False
0,0,1,5,14,False
0,0,1,5,11,False
1,0,0,6,13,False
0,0,1,3,12,False
0,0,1,4,15,False
0,0,0,6,15,False
0,0,0,3,16,False
0,0,1,4,9,False
0,0,0,4,13,False
0,0,0,4,13,False
0,0,0,3,16,False
1,0,0,3,12,False
0,0,0,3,10,False
0,0,1,6,11,False
0,0,1,5,11,False
0,0,0,3,10,False
0,0,1,3,11,False
0,0,0,8,11,False
1,0,0,5,10,False
0,0,0,5,9,False
0,0,0,5,8,False
0,0,0,6,9,False
0,0,0,7,9,False
0,0,0,5,7,False
0,0,0,5,9,False
0,0,0,5,11,False
0,0,0,6,10,False
0,0,1,5,7,False
0,0,0,6,9,False
0,0,0,5,10,False
0,0,0,4,9,False
0,0,0,4,10,False
0,0,0,4,10,False
0,0,0,6,11,False
0,0,1,6,9,False
0,0,1,6,9,False
0,0,0,3,9,False
0,0,0,4,11,False
0,0,0,6,9,False
0,0,0,5,10,False
0,0,0,4,11,False
0,0,0,4,9,False
0,0,0,3,11,False
0,0,0,3,11,False
0,0,0,3,9,False
1,0,0,5,9,False
0,0,0,5,10,False
0,0,0,3,9,False
0,0,0,4,15,False
0,0,0,5,28,False
0,0,0,5,12,False
0,0,0,4,8,False
1,0,0,4,8,False
0,0,0,4,9,False
0,0,0,3,17,False
0,0,0,3,16,False
0,0,0,4,11,False
0,0,0,100,10,True
