Dave Brain,Monica Araya,James Green,Gonzalo Vilariño,Iraola,isPartial
4,0,21,0,2,False
0,0,22,0,7,False
4,0,24,0,3,False
4,0,38,0,6,False
2,0,37,0,5,False
0,0,25,0,6,False
3,0,39,0,4,False
0,0,39,0,9,False
0,0,30,0,5,False
2,0,27,0,2,False
2,0,27,0,2,False
3,0,16,0,5,False
0,0,32,0,3,False
1,0,23,0,4,False
1,1,25,0,2,False
3,0,27,0,3,False
1,0,34,0,4,False
1,0,28,0,2,False
2,0,32,0,3,False
1,0,33,0,1,False
1,0,31,0,4,False
0,1,42,0,6,False
2,0,43,0,6,False
1,0,35,0,3,False
3,0,37,0,2,False
2,0,53,0,3,False
1,0,46,0,6,False
1,1,37,0,3,False
1,1,38,0,5,False
2,1,26,0,3,False
1,1,40,0,4,False
1,1,33,0,3,False
3,0,37,0,3,False
1,1,27,0,3,False
1,1,66,0,4,False
1,0,48,1,6,False
1,0,31,0,4,False
1,0,35,0,6,False
1,0,29,0,5,False
2,1,32,0,3,False
0,0,31,0,4,False
1,0,25,0,4,False
2,0,35,0,2,False
1,0,31,0,4,False
1,0,26,0,4,False
1,0,31,0,5,False
1,0,27,0,3,False
1,0,28,0,4,False
1,0,33,0,3,False
1,0,26,0,5,False
1,0,29,0,4,False
1,0,28,0,6,False
0,0,30,0,4,False
1,0,25,0,3,False
2,0,27,0,3,False
1,0,26,0,6,False
1,1,26,0,5,False
1,0,27,0,5,False
1,0,30,0,5,False
1,0,30,0,5,False
1,0,28,0,4,False
1,0,26,0,5,False
1,0,29,0,4,False
1,0,30,0,5,False
1,0,28,0,5,False
1,0,28,0,4,False
1,0,28,0,4,False
1,0,30,0,5,False
1,0,25,0,6,False
1,0,29,0,6,False
1,0,28,0,5,False
1,0,27,0,5,False
0,0,28,0,6,False
1,0,29,0,4,False
1,0,32,0,3,False
1,0,36,0,4,False
0,0,29,0,5,False
1,0,38,0,4,False
2,0,31,0,3,False
0,0,27,0,4,False
1,0,28,0,5,False
1,0,31,0,5,False
1,0,29,0,6,False
1,0,27,0,5,False
1,0,40,0,4,False
1,0,34,0,5,False
0,0,27,0,5,False
1,0,28,0,4,False
1,0,32,0,5,False
1,0,31,0,4,False
1,0,29,0,4,False
0,0,29,0,5,False
1,0,26,0,5,False
0,0,25,0,4,False
1,0,27,0,4,False
1,0,25,0,4,False
1,0,29,0,3,False
1,0,26,0,4,False
1,0,26,0,8,False
1,0,26,0,4,False
1,0,26,0,6,False
1,0,26,0,4,False
1,0,28,0,4,False
1,0,25,0,3,False
1,0,32,0,3,False
1,0,34,0,4,False
1,0,37,0,3,False
1,0,30,0,4,False
1,0,27,0,4,False
1,0,29,0,4,False
1,0,29,0,3,False
1,1,25,0,4,False
1,0,27,0,4,False
1,0,37,0,4,False
1,0,25,0,3,False
1,0,27,0,3,False
0,0,31,0,4,False
1,0,28,0,4,False
1,0,29,0,4,False
1,0,26,0,4,False
1,0,32,0,3,False
1,0,26,0,4,False
1,0,29,0,4,False
1,0,28,0,3,False
1,0,29,0,3,False
0,0,29,0,3,False
1,0,30,0,3,False
1,0,31,0,5,False
1,0,29,0,5,False
1,0,26,0,4,False
1,0,27,0,4,False
1,0,30,0,3,False
1,0,27,0,3,False
0,0,27,0,4,False
0,0,28,0,5,False
1,0,28,0,6,False
1,0,28,0,15,False
1,0,31,0,6,False
1,0,27,0,8,False
1,0,26,0,5,False
1,0,32,0,4,False
1,0,29,0,4,False
1,0,38,0,3,False
1,0,32,0,3,False
1,0,31,0,4,False
1,0,31,0,3,False
1,0,31,0,3,False
1,0,31,0,3,False
1,0,32,0,4,False
1,0,100,0,4,False
0,0,31,0,4,False
1,0,28,0,2,False
1,0,27,0,3,False
1,0,27,0,4,False
1,0,31,0,4,False
1,0,31,0,3,False
1,0,31,0,3,False
1,0,34,0,3,False
1,0,28,0,3,False
1,0,28,0,3,False
1,0,32,0,3,False
1,0,40,0,3,False
1,0,26,0,3,False
1,0,24,0,2,False
1,0,24,0,2,False
1,0,26,0,2,False
1,0,26,0,2,False
1,0,27,0,2,False
1,0,28,0,2,False
0,1,28,0,3,False
1,0,26,0,3,False
1,0,26,0,2,False
1,0,39,0,3,False
1,0,36,0,2,False
1,0,25,0,3,False
1,0,22,0,3,False
1,0,23,0,3,False
0,0,25,0,3,False
0,0,28,0,2,False
1,0,23,0,3,False
1,0,28,0,2,False
1,0,28,0,3,False
0,0,26,0,2,False
1,0,24,0,2,False
0,0,33,0,3,False
1,0,22,0,2,False
1,0,24,0,3,False
1,0,22,0,3,False
1,0,23,0,2,False
1,0,26,0,3,False
1,0,25,0,3,False
0,0,26,0,3,False
1,0,26,0,4,False
1,0,26,0,8,False
1,0,23,0,3,False
1,0,23,0,2,False
1,0,25,0,2,False
1,0,23,0,3,False
1,0,23,0,5,False
1,0,28,0,4,False
1,0,29,0,3,False
1,0,29,0,2,True
