Kevin Briggs,Tristram Wyatt,Jackie Savitz,Chris Kluwe,Iraola,isPartial
3,3,0,0,3,False
0,0,0,0,10,False
0,0,0,0,4,False
0,0,0,0,10,False
0,0,0,0,7,False
3,0,0,0,10,False
3,0,0,0,6,False
5,0,0,0,13,False
0,0,0,2,7,False
0,0,0,0,3,False
0,0,0,0,3,False
0,0,0,0,8,False
0,0,0,0,5,False
2,0,0,0,5,False
2,2,0,0,3,False
0,2,0,2,4,False
0,0,0,0,5,False
5,2,0,0,4,False
2,0,0,0,5,False
2,0,0,2,2,False
2,0,0,3,6,False
3,0,0,0,9,False
1,2,0,1,9,False
1,0,0,1,5,False
2,0,0,0,3,False
3,0,0,0,5,False
1,0,1,0,9,False
1,0,0,0,4,False
2,0,0,0,7,False
0,0,0,0,5,False
1,0,0,0,6,False
1,0,0,0,5,False
2,0,0,1,4,False
1,0,0,1,4,False
0,0,0,0,6,False
1,0,0,1,9,False
1,0,0,0,7,False
1,0,0,0,9,False
1,0,0,0,8,False
1,0,0,0,4,False
2,0,0,1,5,False
1,0,0,0,6,False
1,0,0,0,3,False
1,0,0,0,5,False
1,0,0,0,6,False
1,0,0,1,8,False
1,0,0,0,4,False
2,0,0,1,7,False
1,0,0,1,5,False
1,0,0,1,7,False
1,0,0,1,5,False
0,0,0,1,8,False
0,0,0,0,6,False
1,0,0,0,4,False
2,0,0,1,5,False
1,0,0,1,10,False
0,0,0,0,8,False
1,0,0,1,7,False
1,0,0,1,7,False
1,0,0,2,7,False
0,0,0,2,7,False
0,0,0,0,7,False
1,0,0,1,7,False
1,0,0,0,7,False
1,0,0,0,7,False
1,0,0,0,5,False
2,0,0,1,6,False
1,0,0,0,7,False
1,0,0,0,9,False
1,0,0,1,8,False
0,0,0,1,8,False
1,0,0,0,8,False
1,0,0,2,9,False
0,0,0,0,5,False
0,0,0,0,5,False
1,0,1,0,6,False
1,0,0,0,7,False
1,0,0,0,6,False
0,0,0,0,4,False
1,0,0,1,6,False
0,0,0,0,7,False
0,0,0,3,7,False
1,0,0,2,9,False
0,0,0,8,7,False
0,0,0,1,6,False
1,0,0,1,7,False
0,0,0,1,8,False
1,0,0,0,6,False
1,0,0,0,8,False
1,0,0,0,7,False
0,0,0,10,6,False
1,0,0,4,8,False
0,0,0,3,7,False
1,0,0,5,6,False
0,0,0,4,6,False
0,0,0,1,6,False
0,0,0,2,5,False
0,0,0,0,6,False
1,0,0,2,12,False
1,0,0,1,6,False
0,0,0,1,9,False
1,0,0,1,6,False
0,0,0,1,6,False
1,0,0,4,5,False
1,0,0,100,5,False
0,0,0,42,5,False
0,0,0,17,5,False
2,0,0,17,6,False
1,0,0,36,6,False
0,0,0,12,7,False
1,0,0,10,4,False
1,0,0,17,6,False
6,0,0,28,5,False
1,0,0,26,5,False
1,0,0,19,5,False
1,0,0,9,5,False
1,0,0,17,6,False
2,0,0,14,5,False
1,0,0,4,6,False
1,0,0,5,6,False
1,0,0,75,5,False
5,0,0,9,5,False
7,0,0,7,6,False
2,0,0,3,5,False
3,0,0,6,5,False
2,0,0,3,5,False
1,0,0,21,5,False
2,0,0,9,7,False
1,0,0,5,7,False
2,0,0,11,7,False
1,0,0,5,7,False
2,0,0,4,4,False
2,0,0,4,5,False
1,0,0,3,6,False
1,0,0,2,8,False
1,0,0,4,8,False
2,0,0,2,23,False
2,0,0,2,9,False
1,0,0,2,11,False
1,0,0,2,8,False
1,0,0,3,7,False
1,0,0,3,5,False
1,0,0,2,4,False
1,0,0,2,4,False
1,0,0,2,6,False
1,0,0,5,4,False
2,0,0,1,5,False
1,0,0,2,5,False
1,0,0,1,6,False
1,0,0,1,6,False
1,0,0,1,6,False
0,0,0,5,4,False
1,0,0,2,5,False
1,0,0,10,5,False
1,0,0,4,7,False
1,0,0,3,4,False
1,0,0,1,4,False
1,0,0,2,5,False
1,0,0,1,5,False
1,0,0,1,4,False
1,0,0,1,4,False
1,0,0,1,4,False
0,0,0,1,4,False
1,0,0,1,3,False
1,0,0,3,3,False
1,0,0,1,3,False
1,0,0,1,4,False
0,0,0,1,3,False
1,0,0,1,4,False
1,0,0,1,5,False
1,0,0,1,4,False
1,0,0,1,3,False
1,0,0,2,4,False
1,0,0,1,4,False
1,0,0,1,4,False
1,0,0,0,4,False
1,0,0,1,4,False
1,0,0,1,4,False
1,0,0,0,4,False
1,0,0,0,4,False
1,0,0,1,3,False
1,0,0,0,4,False
1,0,0,0,4,False
1,0,0,1,4,False
0,0,0,0,5,False
1,0,0,0,4,False
0,0,0,0,4,False
0,0,0,0,4,False
1,0,0,1,4,False
1,0,0,1,4,False
1,0,0,0,4,False
1,0,0,0,4,False
1,0,0,0,6,False
1,0,0,1,11,False
0,0,0,0,5,False
0,0,0,1,3,False
1,0,0,0,3,False
1,0,0,0,4,False
1,0,0,0,7,False
1,0,0,0,6,False
2,0,0,0,4,False
1,0,0,0,4,True
