Amy Webb,Fabian Oefner,Jason Pontin,Michael Porter,Iraola,isPartial
2,0,0,60,5,False
4,0,0,57,6,False
3,0,0,51,3,False
2,0,0,61,5,False
2,0,0,67,5,False
2,0,0,51,6,False
3,0,2,50,5,False
3,0,0,62,7,False
2,0,0,64,5,False
4,0,0,71,4,False
3,0,0,66,2,False
3,0,2,45,6,False
3,0,2,51,4,False
2,0,0,44,4,False
2,0,1,54,3,False
1,0,0,56,3,False
3,0,1,43,3,False
2,0,0,51,3,False
3,0,0,35,3,False
2,0,0,38,3,False
2,0,0,45,5,False
1,0,1,51,5,False
1,0,0,48,5,False
2,0,0,29,4,False
1,0,0,44,3,False
2,0,0,33,3,False
2,0,0,47,7,False
1,0,0,41,3,False
2,0,0,38,4,False
1,0,1,35,4,False
2,0,1,25,5,False
1,0,1,31,4,False
1,0,1,38,3,False
1,0,1,42,3,False
2,0,0,37,4,False
2,0,0,26,5,False
1,0,0,31,4,False
1,0,0,33,5,False
1,0,0,29,6,False
1,0,1,34,4,False
2,0,0,31,4,False
1,0,1,28,5,False
1,0,0,22,3,False
1,0,0,36,4,False
2,0,1,37,5,False
1,0,0,34,5,False
1,0,0,37,3,False
1,0,0,27,4,False
1,0,0,25,4,False
1,0,0,31,5,False
1,0,0,27,4,False
2,0,0,33,5,False
1,0,0,31,5,False
1,0,0,28,3,False
1,0,0,19,4,False
1,0,0,21,6,False
1,0,0,30,6,False
1,0,0,28,5,False
1,0,0,33,5,False
1,0,0,27,5,False
1,0,0,23,5,False
1,0,0,27,5,False
1,0,0,29,4,False
1,0,0,28,5,False
1,0,0,32,5,False
1,0,0,25,4,False
1,0,0,22,4,False
1,0,0,31,5,False
1,0,0,36,6,False
1,0,0,32,5,False
1,0,0,34,5,False
1,0,0,28,5,False
1,0,0,25,6,False
1,0,0,37,4,False
1,0,0,29,4,False
1,0,0,34,4,False
1,0,0,28,4,False
1,0,0,26,5,False
1,0,0,19,3,False
1,0,0,22,4,False
1,0,0,28,6,False
1,0,0,29,6,False
1,0,0,30,7,False
1,0,0,24,5,False
1,0,0,24,4,False
1,0,0,29,5,False
1,0,0,31,7,False
1,0,0,30,5,False
1,0,0,30,5,False
1,0,0,24,5,False
1,0,0,21,4,False
1,0,0,22,6,False
1,0,0,29,5,False
1,0,0,30,4,False
0,0,0,27,5,False
1,0,0,22,4,False
1,0,0,23,4,False
0,0,0,25,4,False
1,0,0,27,9,False
1,0,0,29,5,False
1,0,0,29,7,False
1,0,0,23,4,False
1,1,0,21,4,False
1,0,0,24,4,False
1,0,0,29,4,False
1,0,0,30,4,False
1,0,0,29,3,False
1,0,0,20,4,False
2,0,0,22,4,False
3,0,0,24,4,False
1,1,0,25,4,False
1,1,0,27,4,False
1,0,0,25,4,False
1,0,0,23,4,False
2,0,0,18,4,False
1,1,0,23,4,False
2,1,0,28,4,False
4,2,0,28,4,False
2,1,0,27,4,False
1,2,0,21,4,False
2,1,0,21,4,False
2,1,0,24,4,False
1,1,0,26,4,False
2,1,0,25,3,False
2,0,0,25,4,False
1,0,0,19,3,False
1,0,0,18,3,False
1,0,0,20,5,False
1,0,0,24,5,False
1,1,0,26,4,False
1,0,0,24,4,False
1,0,0,29,3,False
1,0,0,21,4,False
2,0,0,24,4,False
1,0,0,22,5,False
1,0,0,26,6,False
1,0,0,24,17,False
1,0,0,21,7,False
1,0,0,18,8,False
1,0,0,19,6,False
1,0,0,22,5,False
1,0,0,24,4,False
1,0,0,22,3,False
1,0,0,19,4,False
1,0,0,19,4,False
1,0,0,21,3,False
1,0,0,23,4,False
1,0,0,23,3,False
1,0,0,22,4,False
1,0,0,19,4,False
1,0,0,19,5,False
1,0,0,17,3,False
1,0,0,21,4,False
1,0,0,22,4,False
1,0,0,20,5,False
1,0,0,18,3,False
1,0,0,25,3,False
1,0,0,28,3,False
1,0,0,78,3,False
1,0,0,40,3,False
1,0,0,30,3,False
1,0,0,25,3,False
1,0,0,24,3,False
1,0,0,30,3,False
1,0,0,26,2,False
1,0,0,29,2,False
1,0,0,65,3,False
1,0,0,25,2,False
1,0,0,27,3,False
1,0,0,48,3,False
1,0,0,67,3,False
1,0,0,25,2,False
1,0,0,38,3,False
1,0,0,100,3,False
1,0,0,35,3,False
1,0,0,23,3,False
1,0,0,22,3,False
1,0,0,36,3,False
1,0,0,36,3,False
1,0,0,31,3,False
1,0,0,29,3,False
1,0,0,35,3,False
3,0,0,28,3,False
1,0,0,24,3,False
1,0,0,28,3,False
1,0,0,31,3,False
1,0,0,29,3,False
1,0,0,21,3,False
1,0,0,20,2,False
1,0,0,37,3,False
1,0,0,31,3,False
1,0,0,29,3,False
1,0,0,46,4,False
1,0,0,28,8,False
1,0,0,18,3,False
1,0,0,16,2,False
1,0,0,21,2,False
1,0,0,17,3,False
1,0,0,21,5,False
1,0,0,59,4,False
1,0,0,76,3,False
1,0,0,30,3,True
