Kelli Anderson,Larry Smith,Greg Gage,Chris Anderson (TED),Iraola,isPartial
0,36,0,0,9,False
0,37,0,4,11,False
0,43,5,0,5,False
0,39,4,0,10,False
3,26,4,0,8,False
3,28,0,0,10,False
4,23,0,4,9,False
0,39,0,0,12,False
3,35,0,3,9,False
6,22,0,0,6,False
0,40,3,0,4,False
3,25,0,0,10,False
3,30,0,0,8,False
3,26,0,0,7,False
3,31,0,0,5,False
0,40,3,5,5,False
2,21,0,0,5,False
0,25,0,0,5,False
5,25,0,0,5,False
2,32,2,2,4,False
3,32,0,0,9,False
0,28,0,0,10,False
3,27,0,0,8,False
2,19,2,0,7,False
0,24,0,0,5,False
2,28,2,2,6,False
3,27,1,0,12,False
2,23,0,2,6,False
0,24,3,0,8,False
2,31,0,0,8,False
0,21,1,0,9,False
0,27,0,1,7,False
1,47,0,0,6,False
1,20,0,0,6,False
1,25,0,0,6,False
1,21,0,1,10,False
1,25,1,1,7,False
3,100,0,1,9,False
2,51,1,1,10,False
1,83,0,0,6,False
0,39,1,1,7,False
1,34,0,1,8,False
2,29,0,1,5,False
2,32,1,0,7,False
1,24,1,1,9,False
2,21,1,0,8,False
0,23,1,1,5,False
1,24,1,0,8,False
1,29,1,1,7,False
1,22,1,2,8,False
2,21,1,1,8,False
1,21,2,1,10,False
2,20,1,1,9,False
1,18,1,0,5,False
1,22,1,1,6,False
2,24,0,0,10,False
1,18,1,1,10,False
1,17,0,1,9,False
1,18,1,1,9,False
2,19,0,1,8,False
1,23,1,1,8,False
2,20,0,1,9,False
1,20,1,0,7,False
1,19,0,0,9,False
2,14,0,1,9,False
1,19,1,0,7,False
0,15,0,0,8,False
1,15,1,0,8,False
1,20,0,0,11,False
1,22,1,0,10,False
1,19,1,0,10,False
1,16,0,1,10,False
1,17,0,1,11,False
1,16,0,3,7,False
1,17,0,1,7,False
1,15,1,1,8,False
1,18,0,1,8,False
0,17,0,1,8,False
1,20,0,1,5,False
1,18,1,1,7,False
1,17,0,3,10,False
1,19,0,2,10,False
1,18,1,1,12,False
1,19,0,1,9,False
1,17,0,3,8,False
1,15,0,2,9,False
1,16,1,1,12,False
1,18,0,1,9,False
1,15,0,1,10,False
1,14,0,1,8,False
1,14,0,1,7,False
1,17,0,1,10,False
1,16,0,1,10,False
1,13,0,1,8,False
1,14,0,1,8,False
1,17,1,1,7,False
1,19,0,1,7,False
1,15,0,1,8,False
4,20,1,1,17,False
2,16,1,2,8,False
1,18,0,2,12,False
1,16,0,1,8,False
2,16,0,1,7,False
1,17,0,1,7,False
1,18,0,1,8,False
1,17,0,1,8,False
1,21,1,1,6,False
1,18,0,1,7,False
1,18,1,1,7,False
1,18,0,1,8,False
1,17,1,1,6,False
1,18,0,1,8,False
1,17,0,1,7,False
0,21,0,1,7,False
1,25,1,1,7,False
2,26,0,1,7,False
1,22,0,1,8,False
1,23,0,1,7,False
1,22,0,1,7,False
1,19,0,1,7,False
1,20,0,1,7,False
1,20,0,1,7,False
1,20,0,1,8,False
1,19,0,1,6,False
1,20,0,1,6,False
1,29,0,1,6,False
1,21,0,1,6,False
1,21,0,9,9,False
1,18,0,1,9,False
1,18,0,1,8,False
1,17,0,1,8,False
1,24,0,1,6,False
1,20,0,1,7,False
1,19,0,0,8,False
1,18,0,1,9,False
1,17,1,1,11,False
1,17,2,1,30,False
1,20,1,0,12,False
1,17,1,1,15,False
1,18,0,1,10,False
1,20,1,1,8,False
1,18,0,1,7,False
1,15,0,0,6,False
1,17,0,1,7,False
1,18,0,1,7,False
1,16,0,1,5,False
1,16,0,1,6,False
1,14,0,2,6,False
1,15,0,3,8,False
0,15,0,2,7,False
1,15,0,1,8,False
0,14,0,1,5,False
1,16,0,1,7,False
1,15,0,1,7,False
1,16,0,1,8,False
0,13,0,1,6,False
1,16,1,1,5,False
1,18,0,1,6,False
1,16,0,1,5,False
1,14,0,1,5,False
1,14,0,1,6,False
0,13,0,1,5,False
0,12,0,1,5,False
1,13,0,1,5,False
1,13,1,1,4,False
1,14,0,1,4,False
0,12,1,1,5,False
0,13,0,1,3,False
0,19,0,1,5,False
1,19,0,1,5,False
1,16,0,1,5,False
0,13,0,1,4,False
1,15,0,1,5,False
0,13,0,1,5,False
0,12,0,1,5,False
0,13,0,1,5,False
1,13,0,1,5,False
1,13,0,1,6,False
0,14,0,1,5,False
0,14,0,1,5,False
1,15,0,1,5,False
0,12,0,1,6,False
1,12,0,1,5,False
1,12,0,1,5,False
0,14,0,1,6,False
1,12,0,1,5,False
0,14,0,0,6,False
0,13,0,1,6,False
0,14,0,1,4,False
0,12,1,1,5,False
0,9,1,1,5,False
0,11,0,1,4,False
1,15,0,1,8,False
0,13,0,0,14,False
0,11,0,1,6,False
1,13,0,2,4,False
0,13,0,1,4,False
0,10,0,0,5,False
1,13,0,1,8,False
0,12,0,1,8,False
0,11,0,1,6,False
1,11,1,1,5,True
