Siyanda Mohutsiwa,Alex Kipman,Angélica Dass,Dan Gross,Iraola,isPartial
0,0,0,14,28,False
0,0,0,21,37,False
0,0,0,17,17,False
0,0,0,0,31,False
0,0,0,17,27,False
0,0,0,0,35,False
0,0,0,30,28,False
0,0,0,0,39,False
0,0,0,21,31,False
0,0,0,11,21,False
0,0,0,16,14,False
0,0,0,20,33,False
0,0,0,13,26,False
0,0,0,9,23,False
0,0,0,15,18,False
0,0,0,9,17,False
0,0,0,12,17,False
0,0,0,7,15,False
0,0,0,8,15,False
0,0,0,7,15,False
0,0,0,11,29,False
0,0,0,13,31,False
0,0,0,9,27,False
0,0,0,6,23,False
0,0,0,11,16,False
0,6,0,8,20,False
0,0,0,7,38,False
0,0,0,17,19,False
0,0,0,7,25,False
0,0,0,10,26,False
0,0,0,11,29,False
0,0,0,7,24,False
0,0,0,4,20,False
0,0,0,4,20,False
0,0,0,8,21,False
0,0,0,12,32,False
0,0,0,3,23,False
0,0,0,9,30,False
0,0,0,7,34,False
0,0,0,7,21,False
0,0,0,10,22,False
0,0,0,5,28,False
0,0,0,6,16,False
0,0,0,4,21,False
0,0,0,12,30,False
0,0,0,10,27,False
0,0,0,12,16,False
0,0,0,8,26,False
0,0,0,10,22,False
0,0,0,10,27,False
0,2,0,13,26,False
0,0,0,7,32,False
0,4,0,10,29,False
0,0,0,10,18,False
0,0,0,10,21,False
0,0,0,8,34,False
0,0,0,10,33,False
0,0,0,14,29,False
0,2,0,9,28,False
0,0,0,4,27,False
0,0,0,5,28,False
0,0,0,8,29,False
0,0,0,5,23,False
0,0,0,4,29,False
0,0,0,8,28,False
0,5,0,10,23,False
0,3,0,5,25,False
0,3,0,4,26,False
0,1,0,5,37,False
0,4,0,7,32,False
0,3,0,6,32,False
0,3,0,8,32,False
0,2,0,6,35,False
0,2,0,5,23,False
0,2,0,8,25,False
0,1,0,6,26,False
0,0,0,8,26,False
0,5,0,7,27,False
0,0,0,4,18,False
0,2,0,3,23,False
0,2,0,6,33,False
0,3,0,7,33,False
0,13,0,6,41,False
0,3,0,6,29,False
0,2,0,6,26,False
0,3,0,6,31,False
0,1,0,3,39,False
0,2,0,6,29,False
0,1,0,5,31,False
0,1,0,5,28,False
0,2,0,7,24,False
0,3,0,5,34,False
0,1,0,5,32,False
0,4,0,7,25,False
0,1,0,6,27,False
0,2,0,6,23,False
0,1,0,6,24,False
0,2,0,8,25,False
0,1,0,7,55,False
0,1,0,8,27,False
0,0,0,6,39,False
0,1,0,5,26,False
0,1,1,8,24,False
0,1,1,6,24,False
0,1,0,6,25,False
0,1,0,5,25,False
0,1,0,7,20,False
0,1,0,8,24,False
0,1,0,10,25,False
0,1,0,7,25,False
0,1,0,4,21,False
0,2,1,5,25,False
0,1,1,5,21,False
0,1,1,5,22,False
0,1,1,3,23,False
0,1,0,5,23,False
0,1,0,5,25,False
0,1,1,6,24,False
0,1,1,7,24,False
0,1,0,6,24,False
0,0,1,6,24,False
0,1,0,5,23,False
0,1,0,7,26,False
0,0,0,5,18,False
0,1,0,5,21,False
0,0,0,7,19,False
0,1,0,4,20,False
0,0,0,3,29,False
1,0,1,6,30,False
0,0,0,6,26,False
1,1,0,6,26,False
0,0,0,6,19,False
0,15,0,7,22,False
0,4,0,7,25,False
0,2,0,6,31,False
0,3,0,6,36,False
0,3,1,7,100,False
0,2,0,6,40,False
0,2,0,4,48,False
0,1,0,6,33,False
0,1,0,6,27,False
0,1,0,6,22,False
0,1,0,6,20,False
0,0,0,5,22,False
0,1,0,8,24,False
0,4,0,7,18,False
0,3,1,6,21,False
1,3,1,6,20,False
1,3,0,5,26,False
0,1,1,5,24,False
1,2,1,3,27,False
1,1,0,6,16,False
0,1,1,4,22,False
0,1,0,7,22,False
2,1,0,8,27,False
1,1,0,6,20,False
0,1,0,7,17,False
0,0,1,9,19,False
0,1,1,7,18,False
0,2,0,8,17,False
0,3,1,7,19,False
0,1,0,5,18,False
0,1,0,4,17,False
0,1,1,5,15,False
1,1,1,6,14,False
0,3,0,9,14,False
0,2,1,9,15,False
0,1,0,5,11,False
0,1,0,7,16,False
0,1,0,10,18,False
0,1,1,11,17,False
1,1,0,9,12,False
0,2,0,7,16,False
0,1,1,5,17,False
0,1,0,6,15,False
1,1,0,7,16,False
0,1,0,8,17,False
0,1,1,9,19,False
0,1,1,10,15,False
0,1,0,11,15,False
0,1,0,10,15,False
0,3,1,12,18,False
0,1,1,12,15,False
0,1,0,9,16,False
0,1,1,7,19,False
0,1,0,4,15,False
0,1,0,6,19,False
0,1,1,8,19,False
0,1,1,9,15,False
0,1,0,9,16,False
0,1,0,9,17,False
0,1,1,8,15,False
0,0,0,13,25,False
0,0,1,15,46,False
0,0,0,19,20,False
0,1,1,22,13,False
0,1,1,10,13,False
0,1,1,12,16,False
0,0,1,10,28,False
0,1,1,18,26,False
0,0,1,18,19,False
0,0,1,18,16,True
