James Watson,Al Seckel,Dean Kamen,Juan Enriquez,Iraola,isPartial
30,3,10,3,2,False
33,2,8,3,5,False
37,0,7,4,3,False
28,1,10,3,3,False
26,0,6,2,3,False
25,0,6,1,3,False
17,0,7,3,3,False
23,2,6,2,5,False
34,0,5,2,3,False
29,1,8,2,2,False
30,1,7,2,1,False
25,2,5,1,2,False
26,1,4,2,2,False
32,1,5,1,3,False
27,1,6,2,2,False
25,0,7,3,3,False
21,1,3,1,2,False
18,0,4,4,3,False
14,0,4,1,2,False
19,1,3,2,2,False
30,1,5,1,3,False
22,1,5,1,3,False
27,1,3,2,2,False
21,1,5,2,3,False
25,0,3,1,2,False
24,1,5,2,2,False
25,0,5,1,3,False
22,1,4,1,2,False
21,1,5,1,3,False
16,0,4,2,3,False
11,1,4,2,3,False
16,0,5,1,2,False
20,0,4,1,2,False
23,1,4,1,2,False
19,0,11,1,3,False
13,0,2,0,2,False
17,1,4,1,2,False
14,0,4,1,3,False
20,0,6,1,3,False
17,0,3,1,2,False
14,0,4,2,3,False
13,0,4,2,3,False
15,0,3,1,3,False
15,0,4,1,2,False
22,0,3,1,3,False
100,0,3,1,2,False
30,0,3,1,3,False
21,0,2,2,3,False
20,1,4,1,2,False
22,0,3,1,2,False
18,0,18,2,3,False
18,1,9,1,3,False
17,0,9,1,3,False
16,0,6,2,2,False
10,0,3,1,2,False
15,0,4,1,3,False
20,0,4,1,3,False
18,0,4,1,3,False
16,0,7,1,3,False
14,0,5,1,3,False
16,0,5,1,3,False
19,0,3,2,3,False
17,0,4,2,3,False
14,0,5,2,3,False
14,0,4,2,3,False
12,0,3,1,3,False
13,0,4,2,3,False
14,0,2,1,3,False
17,0,6,1,4,False
17,0,3,2,3,False
18,0,2,1,4,False
13,0,2,1,3,False
14,0,4,1,3,False
27,0,3,1,2,False
18,0,3,2,3,False
17,0,7,1,3,False
17,0,3,1,3,False
14,0,2,1,3,False
11,0,2,2,2,False
13,0,2,1,2,False
14,0,10,1,3,False
14,0,7,1,3,False
15,0,4,1,4,False
12,0,3,1,4,False
14,0,3,1,3,False
20,0,3,1,4,False
14,0,3,1,4,False
15,0,3,1,3,False
13,0,3,1,4,False
10,0,2,1,3,False
12,0,2,1,3,False
12,0,4,1,4,False
14,0,3,1,4,False
14,0,3,1,3,False
13,0,2,1,3,False
10,0,2,1,2,False
14,0,2,1,3,False
13,0,2,1,3,False
13,0,3,1,5,False
12,0,3,1,3,False
11,0,2,1,5,False
10,0,2,2,2,False
10,0,2,2,2,False
9,0,2,1,3,False
14,0,2,1,3,False
12,0,2,1,2,False
13,0,2,1,3,False
10,0,2,1,3,False
14,0,3,1,2,False
13,0,2,1,2,False
26,0,2,1,2,False
15,0,3,1,2,False
12,0,2,1,2,False
14,0,1,1,2,False
10,0,2,1,2,False
11,0,2,1,3,False
15,0,2,1,3,False
13,0,2,1,2,False
13,0,1,1,3,False
10,0,2,1,3,False
13,0,2,1,2,False
13,0,1,1,3,False
17,0,2,1,3,False
13,0,2,1,2,False
12,0,3,1,3,False
10,0,2,1,2,False
10,0,2,1,3,False
12,0,2,1,3,False
13,0,2,1,4,False
11,0,2,1,3,False
14,0,1,1,3,False
24,0,2,1,2,False
13,0,3,1,3,False
14,0,1,1,3,False
14,0,2,1,3,False
14,0,2,1,4,False
12,0,2,1,10,False
11,0,2,1,5,False
10,0,2,1,5,False
12,0,2,1,4,False
14,0,2,1,3,False
16,0,2,1,2,False
13,0,9,1,2,False
12,0,5,1,2,False
13,0,3,1,2,False
13,0,3,1,2,False
12,0,2,1,2,False
12,0,2,1,2,False
11,0,3,1,3,False
10,0,2,1,3,False
8,0,1,1,3,False
9,0,1,1,2,False
13,0,1,1,2,False
11,0,2,1,3,False
10,0,1,1,3,False
9,0,2,1,3,False
12,0,2,1,2,False
14,0,2,1,2,False
13,0,1,1,2,False
11,0,2,1,2,False
11,0,1,1,2,False
8,0,1,0,2,False
8,0,1,1,2,False
10,0,1,0,2,False
12,0,1,1,2,False
11,0,1,1,2,False
10,0,1,1,2,False
8,0,1,1,1,False
11,0,1,1,2,False
11,0,1,1,2,False
11,0,1,1,2,False
10,0,2,1,1,False
10,0,1,1,2,False
8,0,1,1,2,False
7,0,1,1,2,False
10,0,1,1,2,False
11,0,1,0,2,False
9,0,1,1,2,False
10,0,1,1,2,False
9,0,1,0,2,False
34,0,1,0,2,False
13,0,1,0,2,False
11,0,1,1,2,False
10,0,2,1,2,False
9,0,1,0,2,False
7,0,1,0,2,False
6,0,1,0,2,False
9,0,1,0,2,False
11,0,1,1,2,False
9,0,1,1,2,False
9,0,1,1,2,False
8,0,1,0,2,False
10,0,1,1,3,False
11,0,1,0,5,False
8,0,1,0,2,False
11,0,2,0,2,False
9,0,1,0,2,False
9,0,2,0,1,False
7,0,1,0,3,False
7,0,1,0,3,False
12,0,1,0,2,False
10,0,1,1,2,True
